	A	B	C	D
ACTL10	10	7	7	4
ACTL6A	119	99	70	73
ACTL6B	0	0	0	0
ACTL7A	1	0	0	0
ACTL7B	0	0	0	0
ACTL8	0	0	0	0
ACTL9	0	0	0	0
ACTN1	68	92	50	66
ACTN1-AS1	0	0	2	0
ACTN2	0	0	0	0
ACTN3	0	0	0	0
ACTN4	118	162	103	114
ACTR10	10	5	11	10
ACTR1A	44	50	43	41
ACTR1B	2	3	5	3
ACTR2	199	237	152	179
ACTR3	99	110	52	76
ACTR3B	2	0	3	2
ACTR3BP2	0	0	0	0
ACTR3BP5	0	0	0	0
ACTR3C	0	0	0	0
ACTR5	2	2	2	0
ACTR6	8	8	3	9
ACTR8	10	8	1	5
ACTRT1	0	0	0	0
ACTRT2	0	0	0	0
ACTRT3	3	4	1	4
ACVR1	7	2	5	7
ACVR1B	8	8	5	3
ACVR1C	0	0	0	0
ACVR2A	52	27	25	28
ACVR2B	11	16	6	4
ACVR2B-AS1	32	23	18	24
ACVRL1	2	2	2	4
ACY1	1	0	0	0
ACY3	0	0	0	0
ACYP1	1	2	2	2
ACYP2	29	41	28	33
ADA	4	3	0	2
ADAD1	0	0	0	0
ADAD2	0	0	0	0
ADAL	96	110	87	87
ADAM10	9	21	10	13
ADAM11	0	1	0	0
ADAM12	5	9	5	3
ADAM15	2	2	1	2
ADAM17	27	23	28	17
ADAM18	0	0	0	0
ADAM19	7	16	7	5
ADAM1A	0	3	1	0
ADAM2	0	0	0	0
ADAM20	0	0	0	0
ADAM20P1	1	0	0	0
ADAM21	2	1	0	0
ADAM21P1	0	0	0	1
ADAM22	26	29	21	13
ADAM23	1	1	0	0
ADAM28	0	0	0	0
ADAM29	0	0	0	0
ADAM30	0	0	0	0
ADAM32	0	0	0	0
ADAM33	1	1	1	5
ADAM3A	0	0	0	0
ADAM5	0	0	0	0
ADAM6	0	0	0	0
ADAM7	0	0	0	0
ADAM8	1	0	1	1
ADAM9	26	53	28	26
ADAMDEC1	0	0	0	0
ADAMTS1	7	2	3	7
ADAMTS10	0	0	0	0
ADAMTS12	1	0	2	1
ADAMTS13	2	3	0	1
ADAMTS14	0	0	0	0
ADAMTS15	0	0	0	0
ADAMTS16	2	11	2	2
ADAMTS17	2	7	6	3
ADAMTS18	0	1	0	0
ADAMTS19	0	0	0	0
ADAMTS19-AS1	0	0	0	0
ADAMTS2	3	4	5	1
ADAMTS20	0	0	0	0
ADAMTS3	0	0	0	1
ADAMTS4	36	40	24	35
ADAMTS5	0	0	0	0
ADAMTS6	3	8	2	1
ADAMTS7	2	0	1	1
ADAMTS7P1	0	0	0	0
ADAMTS8	0	0	1	0
ADAMTS9	1	1	0	1
ADAMTS9-AS1	23	30	13	12
ADAMTS9-AS2	0	0	0	0
ADAMTSL1	3	5	3	4
ADAMTSL2	7	12	7	7
ADAMTSL3	0	0	0	0
ADAMTSL4	13	19	15	18
ADAMTSL4-AS1	0	0	1	0
ADAMTSL5	2	3	2	2
ADAP1	0	2	0	0
ADAP2	0	0	0	0
ADAR	34	54	28	26
ADARB1	8	7	5	7
ADARB2	5	2	3	1
ADARB2-AS1	0	0	0	0
ADAT1	21	29	17	22
ADAT2	8	8	5	5
ADAT3	0	0	0	0
ADCK1	0	1	0	0
ADCK2	2	3	3	5
ADCK3	12	6	4	3
ADCK4	6	7	3	3
ADCK5	6	4	4	0
ADCY1	9	17	10	15
ADCY10	1	0	0	0
ADCY10P1	2	3	0	2
ADCY2	1	2	2	2
ADCY3	2058	2067	1991	1839
ADCY4	0	0	1	0
ADCY5	32	27	31	14
ADCY6	4	4	3	7
ADCY7	310	288	233	216
ADCY8	1	0	0	0
ADCY9	1	4	0	3
ADCYAP1	0	0	0	0
ADCYAP1R1	0	1	0	2
ADD1	22	34	18	18
ADD2	29	33	16	28
ADD3	2	3	5	4
ADD3-AS1	9	16	13	11
ADGB	0	0	0	0
ADGRA1	0	0	0	0
ADGRA1-AS1	0	0	0	0
ADGRA2	42	45	49	42
ADGRA3	14	17	8	15
ADGRB1	0	0	0	0
ADGRB2	4	1	0	0
ADGRB3	0	0	0	0
ADGRD1	0	0	0	0
ADGRE1	2	2	0	0
ADGRE2	4	5	2	4
ADGRE3	0	0	0	0
ADGRE4P	3	5	5	5
ADGRE5	3	5	7	6
ADGRF1	0	2	4	4
ADGRF2	0	0	1	0
ADGRF3	32	37	14	29
ADGRF4	0	0	0	0
ADGRF5	0	0	0	0
ADGRG1	9	7	13	8
ADGRG2	7	4	5	4
ADGRG3	0	0	0	0
ADGRG4	2	0	0	0
ADGRG5	0	0	2	0
ADGRG6	0	1	0	1
ADGRG7	0	0	0	0
ADGRL1	71	96	64	82
ADGRL2	1	2	1	4
ADGRL3	0	2	0	0
ADGRL3-AS1	2	2	0	5
ADGRL4	0	3	1	0
ADGRV1	0	0	0	0
ADH1A	1	0	0	1
ADH1B	0	0	0	0
ADH1C	0	0	0	0
ADH4	3	2	1	0
ADH5	27	51	14	26
ADH6	0	2	0	0
ADH7	0	0	0	0
ADHFE1	0	0	0	0
ADI1	21	17	18	18
ADIG	0	0	0	0
ADIPOQ	16	11	23	10
ADIPOQ-AS1	3	5	4	3
ADIPOR1	14	28	11	17
ADIPOR2	49	71	45	42
ADIRF	23	27	28	16
ADK	1	3	1	4
ADM	1	1	0	1
ADM2	17	18	17	11
ADM5	0	0	1	0
ADNP	30	35	12	20
ADNP-AS1	31	39	22	26
ADNP2	3	5	1	4
ADO	2	2	2	7
ADORA1	0	6	0	1
ADORA2A	0	0	0	0
ADORA2A-AS1	19	29	20	16
ADORA2B	3	4	3	5
ADORA3	0	0	0	0
ADPGK	2	4	2	1
ADPGK-AS1	138	157	74	113
ADPRH	0	1	0	0
ADPRHL1	0	0	0	0
ADPRHL2	0	2	2	0
ADPRM	0	3	2	1
ADRA1A	13	12	10	15
ADRA1B	0	1	1	3
ADRA1D	6	16	8	9
ADRA2A	0	0	0	0
ADRA2B	0	0	0	0
ADRA2C	0	0	0	0
ADRB1	0	0	0	0
ADRB2	1	0	0	3
ADRB3	0	0	0	0
ADRBK1	5	10	4	3
ADRBK2	19	16	13	22
ADRM1	24	26	13	26
ADSL	0	2	4	2
ADSS	14	28	20	14
ADSSL1	0	0	0	0
ADTRP	1	0	1	0
AEBP1	6	9	4	6
AEBP2	7	7	4	10
AEN	3	4	5	5
AES	19	31	15	16
AFAP1	4	14	2	4
AFAP1-AS1	335	355	305	287
AFAP1L1	13	8	3	3
AFAP1L2	0	0	0	0
AFF1	3	7	2	2
AFF2	5	1	0	3
AFF3	20	25	23	28
AFF4	25	16	13	20
AFG3L1P	3	5	0	4
AFG3L2	388	404	421	381
AFM	0	0	0	0
AFMID	12	18	9	14
AFP	0	0	0	0
AFTPH	9	7	6	9
AGA	1	5	2	0
AGAP1	9	5	8	6
AGAP1-IT1	0	0	0	1
AGAP11	3	2	4	3
AGAP2	1366	1646	1883	1615
AGAP2-AS1	741	772	645	603
AGAP3	6	5	3	9
AGAP4	0	0	0	1
AGAP5	0	0	0	0
AGAP6	1	0	0	0
AGAP7P	0	0	0	0
AGAP9	0	0	0	0
AGBL1	0	0	0	0
AGBL1-AS1	0	0	0	0
AGBL2	0	0	0	0
AGBL3	0	0	1	0
AGBL4	0	0	0	0
AGBL4-IT1	0	0	0	0
AGBL5	3152	3009	3493	2992
AGBL5-AS1	1	0	1	0
AGER	24	26	31	24
AGFG1	10	2	0	2
AGFG2	0	2	1	0
AGGF1	10	20	7	10
AGK	86	105	76	77
AGL	0	4	1	2
AGMAT	37	19	24	22
AGMO	6	6	7	4
AGO1	13	17	10	7
AGO2	1	3	0	3
