	A	B	C	D
CST9	0	0	0	0
CST9L	0	0	0	0
CSTA	0	0	0	0
CSTB	1	5	2	3
CSTF1	2	2	3	0
CSTF2	6	8	3	6
CSTF2T	7	24	11	4
CSTF3	24	24	13	9
CSTF3-AS1	7	12	13	9
CSTL1	0	0	0	0
CT45A1	0	0	0	0
CT45A10	0	0	0	0
CT45A2	0	0	0	0
CT45A3	0	0	0	0
CT45A4	0	0	0	0
CT45A5	0	0	0	0
CT45A6	0	0	0	0
CT45A7	0	0	0	0
CT45A8	0	0	0	0
CT45A9	0	0	0	0
CT47A1	0	0	0	0
CT47A10	0	0	0	0
CT47A11	0	0	0	0
CT47A12	0	0	0	0
CT47A2	0	0	0	0
CT47A3	0	0	0	0
CT47A4	0	0	0	0
CT47A5	0	0	0	0
CT47A6	0	0	0	0
CT47A7	0	0	0	0
CT47A8	0	0	0	0
CT47A9	0	0	0	0
CT47B1	0	0	0	0
CT55	0	0	0	0
CT62	1	0	1	0
CT83	0	0	0	0
CTAG1A	0	0	0	0
CTAG1B	0	0	0	0
CTAG2	0	0	0	0
CTAGE1	0	0	0	2
CTAGE10P	0	0	0	0
CTAGE11P	0	1	0	0
CTAGE15	0	0	0	0
CTAGE4	0	0	0	0
CTAGE5	4	8	5	6
CTAGE6	0	1	0	0
CTAGE7P	26	22	21	20
CTAGE8	0	0	0	0
CTAGE9	0	0	0	0
CTB-113P19.1	100	92	40	96
CTB-12O2.1	0	0	0	0
CTB-178M22.2	0	0	0	0
CTB-7E3.1	0	0	0	0
CTBP1	4	7	2	3
CTBP1-AS	1625	1875	1832	1615
CTBP1-AS2	7	6	4	4
CTBP2	38	38	33	41
CTBS	0	3	0	1
CTC-338M12.4	51	42	42	45
CTC-436P18.1	64	104	58	84
CTC1	6	7	4	7
CTCF	61	81	41	67
CTCFL	0	0	0	0
CTD-2151A2.1	0	0	0	0
CTD-2194D22.4	0	0	0	0
CTD-2201E9.1	0	0	0	0
CTD-2201I18.1	1	1	1	0
CTD-2270F17.1	1	0	0	0
CTD-2297D10.2	0	0	0	0
CTD-2350J17.1	0	0	0	0
CTD-3080P12.3	0	0	0	0
CTDNEP1	20	21	12	23
CTDP1	9	8	3	6
CTDSP1	14	14	12	12
CTDSP2	18	13	11	16
CTDSPL	0	0	0	0
CTDSPL2	8	7	6	4
CTF1	0	0	0	1
CTGF	15	11	4	9
CTGLF12P	0	0	0	0
CTH	0	1	0	0
CTHRC1	10	4	8	8
CTIF	6	5	2	2
CTLA4	0	0	0	0
CTNNA1	30	30	9	21
CTNNA2	0	0	0	0
CTNNA3	0	0	0	0
CTNNAL1	2	5	3	1
CTNNB1	69	98	52	77
CTNNBIP1	0	0	0	1
CTNNBL1	23	32	17	19
CTNND1	25	20	14	13
CTNND2	1	1	0	1
CTNS	1207	939	866	813
CTPS1	26	43	16	26
CTPS2	0	4	1	3
CTR9	36	81	36	60
CTRB1	0	0	1	0
CTRB2	0	0	1	0
CTRC	0	0	0	0
CTRL	77	57	85	76
CTSA	99	114	81	91
CTSB	229	226	173	159
CTSC	131	179	101	136
CTSD	10	20	10	11
CTSE	0	1	0	0
CTSF	2	0	1	1
CTSG	0	0	0	0
CTSH	14	17	14	12
CTSK	1	1	0	0
CTSL	23	50	37	41
CTSL3P	0	0	0	0
CTSLP2	8	15	8	10
CTSLP8	7	4	2	6
CTSO	0	0	1	1
CTSS	19	18	12	14
CTSV	20	9	13	12
CTSW	11	6	6	4
CTSZ	32	49	19	35
CTTN	45	81	21	30
CTTNBP2	0	0	0	0
CTTNBP2NL	13	16	7	13
CTU1	3	3	4	1
CTU2	35	29	35	40
CTXN1	1	2	1	1
CTXN2	0	0	0	0
CTXN3	0	0	0	0
CUBN	10	9	3	5
CUEDC1	3	3	1	8
CUEDC2	14	17	12	6
CUL1	7	13	7	9
CUL2	1	4	8	3
CUL3	12	22	9	15
CUL4A	19	35	23	20
CUL4B	8	10	7	11
CUL5	46	57	48	38
CUL7	45	67	39	41
CUL9	14	12	8	15
CUTA	1	6	2	3
CUTC	5	17	8	7
CUX1	5	11	4	6
CUX2	0	0	0	0
CUZD1	0	0	0	0
CWC15	7	15	7	7
CWC22	17	17	7	25
CWC25	7	20	10	11
CWC27	10	23	8	15
CWF19L1	9	12	7	10
CWF19L2	1	6	1	2
CWH43	0	0	0	0
CX3CL1	0	0	0	0
CX3CR1	0	0	1	0
CXADR	22	9	12	10
CXADRP2	0	0	0	0
CXADRP3	0	0	0	0
CXCL1	5	6	1	1
CXCL10	0	0	0	0
CXCL11	0	0	0	0
CXCL12	0	0	0	0
CXCL13	1	0	0	0
CXCL14	2	0	0	0
CXCL16	64	70	76	65
CXCL17	0	0	0	0
CXCL2	2	1	0	0
CXCL3	0	0	0	0
CXCL5	1	1	1	0
CXCL6	0	0	0	0
CXCL8	9	9	4	3
CXCL9	0	0	0	0
CXCR1	0	0	0	0
CXCR2	11	9	2	8
CXCR2P1	0	0	0	0
CXCR3	1	1	0	0
CXCR4	0	0	0	0
CXCR5	33	22	11	18
CXCR6	28	34	38	36
CXorf21	2	3	0	2
CXorf23	6	7	8	3
CXorf36	15	33	13	16
CXorf38	51	61	46	52
CXorf40A	1	7	1	1
CXorf40B	0	5	1	3
CXorf49	0	0	0	0
CXorf49B	0	0	0	0
CXorf51A	0	0	0	0
CXorf51B	0	0	0	0
CXorf56	22	25	22	31
CXorf57	0	2	2	0
CXorf58	0	0	0	0
CXorf65	0	0	0	0
CXorf66	0	0	0	0
CXorf67	0	0	0	0
CXXC1	14	26	10	12
CXXC1P1	0	0	0	0
CXXC4	0	1	3	0
CXXC5	1	2	0	1
CYB561	14	12	10	12
CYB561A3	23	31	19	32
CYB561D1	8	6	7	8
CYB561D2	23	25	25	25
CYB5A	11	16	8	9
CYB5B	27	30	18	17
CYB5D1	40	57	30	27
CYB5D2	19	9	8	13
CYB5R1	6	8	9	9
CYB5R2	2	7	4	3
CYB5R3	15	12	6	11
CYB5R4	8	5	5	2
CYB5RL	0	1	1	0
CYBA	4	0	1	0
CYBB	0	0	0	0
CYBRD1	2	10	3	5
CYC1	12	8	13	8
CYCS	60	98	61	55
CYCSP52	7	4	3	5
CYFIP1	14	36	12	12
CYFIP2	24	33	14	15
CYGB	1	0	0	0
CYHR1	0	2	0	1
CYLC1	0	0	0	0
CYLC2	4	4	2	1
CYLD	13	14	4	11
CYMP	0	0	0	0
CYP11A1	2	4	2	1
CYP11B1	0	0	0	0
CYP11B2	0	0	0	0
CYP17A1	1	1	1	0
CYP19A1	0	0	0	0
CYP1A1	0	0	0	0
CYP1A2	14	14	7	13
CYP1B1	0	1	1	0
CYP1B1-AS1	1	4	1	1
CYP20A1	198	219	192	211
CYP21A1P	2	3	0	1
CYP21A2	0	0	0	0
CYP24A1	0	0	0	0
CYP26A1	0	0	0	0
CYP26B1	0	0	0	0
CYP26C1	0	0	0	0
CYP27A1	1	0	1	1
CYP27B1	11	8	12	5
CYP27C1	18	12	4	11
CYP2A13	0	0	0	0
CYP2A6	0	0	0	1
CYP2A7	0	0	0	1
CYP2B6	4	5	3	6
CYP2B7P	3	4	1	4
CYP2C18	1	2	1	0
CYP2C19	0	1	0	0
CYP2C8	0	0	0	0
CYP2C9	0	0	0	0
CYP2D6	0	0	0	0
CYP2D7	1	1	0	1
CYP2E1	0	0	0	0
CYP2F1	8	4	6	12
CYP2G1P	0	0	0	0
CYP2J2	0	0	0	0
CYP2R1	4	4	2	3
CYP2S1	0	0	0	0
CYP2U1	0	6	2	6
CYP2W1	6	15	2	1
CYP39A1	0	0	0	0
CYP3A4	0	6	1	1
CYP3A43	0	0	0	0
CYP3A5	13	19	18	17
CYP3A7	0	0	0	0
CYP3A7-CYP3A51P	0	1	0	2
CYP46A1	0	0	0	0
CYP4A11	9	5	9	4
CYP4A22	2	0	0	1
CYP4B1	0	0	0	0
CYP4F11	7	0	4	1
CYP4F12	11	16	26	16
CYP4F2	0	0	0	0
CYP4F22	0	0	0	0
CYP4F24P	2	0	2	0
CYP4F29P	0	0	0	0
CYP4F3	0	0	0	0
CYP4F30P	0	0	0	0
CYP4F35P	0	0	0	0
CYP4F62P	0	0	0	0
CYP4F8	0	0	0	0
CYP4V2	63	62	42	53
CYP4X1	3	4	2	1
CYP4Z1	1	0	1	0
CYP4Z2P	0	0	0	0
CYP51A1	71	29	29	43
CYP51A1-AS1	13	18	4	12
CYP7A1	0	0	0	0
CYP7B1	0	0	0	0
CYP8B1	13	17	3	8
CYR61	18	25	14	25
CYS1	0	0	0	0
CYSLTR1	0	0	0	0
CYSLTR2	0	0	0	0
CYSRT1	4	2	2	6
CYSTM1	0	1	2	2
CYTH1	0	6	2	2
CYTH2	30	62	26	34
CYTH3	11	13	5	7
CYTH4	0	0	0	0
CYTIP	0	0	0	0
CYTL1	0	0	0	0
CYYR1	0	0	0	0
D21S2088E	0	0	0	0
D2HGDH	1	7	3	4
DAAM1	5	4	2	3
DAAM2	78	106	59	64
DAB1	0	0	0	0
DAB1-AS1	0	0	0	0
DAB2	7	7	2	1
DAB2IP	3	3	3	3
DACH1	0	0	0	0
DACH2	0	0	0	0
DACT1	0	3	0	4
DACT2	0	0	0	0
DACT3	0	0	0	0
DACT3-AS1	5	1	1	1
DAD1	2	3	4	4
DAG1	25	26	9	14
DAGLA	0	0	1	0
DAGLB	32	33	18	21
DALRD3	2934	3322	2743	2594
DANCR	1	3	2	2
DAND5	23	27	19	18
DAO	0	0	0	0
DAOA	0	0	0	0
DAOA-AS1	0	0	0	0
DAP	70	96	35	48
DAP3	16	23	11	13
DAPK1	0	0	0	0
DAPK2	1	0	1	1
DAPK3	2	5	6	6
DAPL1	0	0	0	0
DAPP1	11	9	3	7
DARS	11	9	9	9
DARS-AS1	84	148	55	120
DARS2	17	17	16	23
DAW1	0	0	0	0
DAXX	96	143	113	86
DAZ1	0	0	0	0
DAZ2	0	0	0	0
DAZ3	0	0	0	0
DAZ4	0	0	0	0
DAZAP1	35	29	22	37
DAZAP2	381	372	464	421
DAZL	0	0	0	0
DBET	0	0	0	0
DBF4	8	7	4	19
DBF4B	3	5	2	3
DBH	0	0	0	1
DBH-AS1	0	0	1	2
DBI	13	47	13	19
DBIL5P	1	2	2	5
DBIL5P2	1	0	0	1
DBN1	45	76	25	48
DBNDD1	12	12	7	20
DBNDD2	3	1	4	1
DBNL	20	23	10	15
DBP	10	2	11	18
DBR1	12	22	8	18
DBT	37	20	27	24
DBX1	0	0	0	0
DBX2	0	0	0	0
DCAF10	41	47	53	45
DCAF11	37	33	25	26
DCAF12	5	10	5	6
DCAF12L1	0	0	0	0
DCAF12L2	0	0	0	0
DCAF13	170	201	204	179
DCAF13P3	5	3	0	0
DCAF15	4	4	0	4
DCAF16	20	23	17	14
DCAF17	4	7	5	9
DCAF4	3	2	0	2
DCAF4L1	3	0	2	1
DCAF4L2	0	0	0	0
DCAF5	7	9	8	7
DCAF6	4	11	3	8
DCAF7	39	46	27	36
DCAF8	27	59	27	34
DCAF8L1	0	0	0	0
DCAF8L2	0	0	0	0
DCAKD	4	7	3	2
DCANP1	0	0	0	0
DCBLD1	142	147	147	112
DCBLD2	195	199	87	126
DCC	2	0	0	1
DCD	0	0	0	0
DCDC1	0	0	0	0
DCDC2	1	1	4	4
DCDC2B	58	51	44	50
DCDC2C	0	0	0	0
DCDC5	8	7	4	5
DCHS1	0	0	0	0
DCHS2	1	0	0	0
DCK	3	7	10	4
DCLK1	1	0	0	0
DCLK2	0	0	0	0
DCLK3	0	0	0	0
DCLRE1A	0	1	0	1
DCLRE1B	0	3	1	1
DCLRE1C	219	159	153	166
DCN	0	0	0	0
DCP1A	13	12	13	23
DCP1B	1	0	1	0
DCP2	29	29	20	10
DCPS	15	24	27	21
DCST1	39	57	38	34
DCST2	0	0	0	0
DCSTAMP	0	0	0	0
DCT	0	0	0	0
DCTD	8	15	7	12
DCTN1	31	37	13	26
DCTN1-AS1	5	4	5	3
DCTN2	152	158	127	126
DCTN3	8	13	6	7
DCTN4	8	10	4	11
DCTN5	25	36	20	22
DCTN6	19	12	16	22
DCTPP1	5	6	9	8
DCUN1D1	4	5	1	2
DCUN1D2	34	17	22	23
DCUN1D3	3	6	4	10
DCUN1D4	3	5	1	2
DCUN1D5	6	6	4	8
DCX	12	6	5	11
DCXR	0	0	1	0
DDA1	39	44	33	46
DDAH1	11	13	11	8
DDAH2	3	1	2	5
DDB1	56	82	46	49
DDB2	40	36	32	32
DDC	0	0	0	0
DDC-AS1	1	0	0	0
DDHD1	14	12	9	8
DDHD2	17	20	10	17
DDI1	1	0	0	0
DDI2	0	2	2	1
DDIAS	0	0	0	1
DDIT3	592	593	673	628
DDIT4	18	40	17	17
DDIT4L	0	0	0	0
DDN	1	0	0	1
DDO	1	1	1	0
DDOST	17	22	11	14
DDR1	11	14	12	12
DDR2	3	7	1	1
DDRGK1	26	23	14	20
DDT	1	0	0	1
DDTL	2278	2676	2710	2480
DDX1	24	43	20	29
DDX10	7	24	8	13
DDX11	18	10	5	9
DDX11-AS1	0	2	2	0
DDX11L1	3	3	4	3
DDX11L10	2	0	0	1
DDX11L16	0	0	0	0
DDX11L2	8	3	3	4
DDX11L5	0	1	1	1
DDX11L9	4	4	5	6
DDX12P	1	8	6	3
DDX17	70	69	54	65
DDX18	50	54	48	46
DDX19A	11	12	13	19
DDX19B	9	13	7	13
DDX20	11	13	19	12
DDX21	59	103	54	88
DDX23	29	57	20	42
DDX24	111	165	116	76
DDX25	0	0	0	0
DDX26B	1	0	2	1
DDX26B-AS1	0	0	0	0
DDX27	46	59	33	37
DDX28	20	20	23	23
DDX31	58	63	67	72
DDX39A	20	31	9	13
DDX39B	5	8	1	1
DDX3X	111	165	79	56
DDX3Y	0	0	0	0
DDX4	0	0	0	0
DDX41	11	15	2	10
DDX42	96	93	76	95
DDX43	4	2	2	2
DDX46	120	165	109	110
DDX47	9	29	16	19
DDX49	7	8	6	10
DDX5	123	233	86	147
DDX50	6	19	5	8
DDX51	69	77	64	76
DDX52	4	9	2	1
DDX53	0	0	0	0
DDX54	28	27	24	35
DDX55	20	24	14	14
DDX56	5	9	3	2
DDX58	43	52	26	28
DDX59	1	5	2	3
DDX6	24	24	15	13
DDX60	0	0	1	1
DDX60L	2	1	1	0
DEAF1	14	24	10	12
DEAR	39	44	35	43
DEC1	0	0	0	0
DECR1	6	3	1	5
DECR2	1	0	0	0
DEDD	101	131	104	81
DEDD2	7	3	2	1
DEF6	0	0	0	0
DEF8	36	27	29	32
DEFA1	0	0	0	0
DEFA10P	0	0	0	0
DEFA11P	0	0	0	0
DEFA1B	0	0	0	0
DEFA3	0	0	0	0
DEFA4	0	0	0	0
DEFA5	0	0	0	0
DEFA6	0	0	0	0
DEFA8P	0	0	0	0
DEFA9P	0	0	0	0
DEFB1	0	0	0	0
DEFB103A	0	0	0	0
DEFB103B	0	0	0	0
DEFB104A	0	0	0	0
DEFB104B	0	0	0	0
DEFB105A	0	0	0	0
DEFB105B	0	0	0	0
DEFB106A	0	0	0	0
DEFB106B	0	0	0	0
DEFB107A	0	0	0	0
DEFB107B	0	0	0	0
DEFB108B	0	0	0	0
DEFB109P1	0	0	1	0
DEFB109P1B	0	1	0	0
DEFB110	0	0	0	0
DEFB112	0	0	0	0
DEFB113	0	0	0	0
DEFB114	0	0	0	0
DEFB115	0	0	0	0
DEFB116	0	0	0	0
DEFB118	0	0	0	0
DEFB119	0	0	0	0
DEFB121	0	0	0	0
DEFB122	0	0	0	0
DEFB123	0	0	0	0
DEFB124	0	0	0	0
DEFB125	0	0	0	0
DEFB126	0	0	0	0
DEFB127	0	0	0	0
DEFB128	0	0	0	0
DEFB129	0	0	0	0
DEFB130	0	0	0	0
DEFB131	2	0	0	0
DEFB132	0	0	0	0
DEFB133	0	0	0	0
DEFB134	0	0	0	0
DEFB135	0	0	0	0
DEFB136	0	0	0	0
DEFB4A	0	0	0	0
DEFB4B	0	0	0	0
DEFT1P	0	0	0	0
DEFT1P2	0	0	0	0
DEGS1	18	19	16	14
DEGS2	0	0	0	0
DEK	64	81	37	56
DENND1A	0	4	1	2
DENND1B	2	4	3	2
DENND1C	1	0	0	1
DENND2A	5	9	4	7
DENND2C	0	0	0	0
DENND2D	3	0	1	2
DENND3	4	4	5	5
DENND4A	7	10	6	11
DENND4B	8	10	5	7
DENND4C	207	95	100	118
DENND5A	17	23	9	9
DENND5B	10	9	6	9
DENND5B-AS1	1	1	1	1
DENND6A	20	27	16	21
DENND6B	0	0	0	0
DENR	89	99	62	96
DEPDC1	8	13	3	10
DEPDC1-AS1	0	0	1	0
DEPDC1B	3	5	4	0
DEPDC4	3	0	0	0
DEPDC5	1	3	1	1
DEPDC7	0	1	0	0
DEPTOR	0	0	0	0
DERA	0	1	1	4
DERL1	7	12	2	4
DERL2	0	3	2	3
DERL3	7	6	6	4
DES	1	0	0	0
DESI1	33	38	29	29
DESI2	10	5	9	5
DET1	1	0	0	0
DEXI	243	196	134	114
DFFA	42	30	22	33
DFFB	18	24	19	19
DFNA5	2	11	7	12
DFNB31	6	5	5	10
DFNB59	0	0	0	0
DGAT1	478	425	405	405
DGAT2	0	0	0	0
DGAT2L6	0	0	0	0
DGCR10	1	1	0	3
DGCR11	6	1	3	0
DGCR14	6	4	3	3
DGCR2	2	2	3	9
DGCR5	2	1	1	0
DGCR6	0	0	2	0
DGCR6L	0	2	2	0
DGCR8	15	34	17	22
DGCR9	4	3	3	3
DGKA	7	15	2	6
DGKB	50	43	36	36
DGKD	9	10	4	6
DGKE	9	10	78	67
DGKG	0	1	0	1
DGKH	4	9	4	5
DGKI	0	0	0	0
DGKK	0	0	0	0
DGKQ	1	2	1	2
DGKZ	2	3	5	3
DGUOK	7	11	3	3
DGUOK-AS1	638	678	605	574
DHCR24	56	77	39	51
DHCR7	9	13	1	4
DHDDS	15	10	9	9
DHDH	0	0	0	0
DHFR	56	47	30	34
DHFRL1	13	20	12	15
DHH	0	0	1	0
DHODH	32	39	19	26
DHPS	131	146	130	116
DHRS1	28	35	10	16
DHRS11	8	2	1	4
DHRS12	8	12	8	8
DHRS13	5	4	1	0
DHRS2	1	3	0	4
DHRS3	15	29	10	15
DHRS4	35	56	62	43
DHRS4-AS1	223	201	224	268
DHRS4L1	0	0	1	0
DHRS4L2	1	3	2	0
DHRS7	16	16	8	14
DHRS7B	2	7	5	7
DHRS7C	0	0	0	0
DHRS9	0	0	0	0
DHRSX	0	0	0	0
DHTKD1	28	39	29	26
DHX15	33	48	26	37
DHX16	17	38	21	30
DHX29	9	30	13	11
DHX30	16	24	11	14
DHX32	501	277	308	337
DHX33	11	19	9	9
DHX34	8	7	11	6
DHX35	5	1	2	4
DHX36	23	32	13	24
DHX37	6	10	3	6
DHX38	67	94	69	82
DHX40	22	38	8	6
DHX57	12	19	7	11
DHX58	2	1	0	0
DHX8	14	23	10	13
DHX9	62	100	49	60
DIABLO	9	24	10	17
DIAPH1	37	54	23	36
DIAPH2	4	2	1	4
DIAPH2-AS1	0	0	1	0
DIAPH3	4	9	2	3
DIAPH3-AS1	29	53	30	33
DIAPH3-AS2	0	0	0	1
DICER1	13	21	9	10
DICER1-AS1	0	1	1	0
DIDO1	95	89	71	91
DIEXF	17	16	8	18
DIMT1	213	161	134	137
DIO1	7	3	0	5
DIO2	0	3	2	1
DIO2-AS1	1	2	1	1
DIO3	0	0	0	0
DIO3OS	0	0	0	0
DIP2A	44	28	20	16
DIP2A-IT1	0	0	0	0
DIP2B	9	10	6	8
DIP2C	4	9	2	3
DIRAS1	0	0	0	0
DIRAS2	0	0	0	0
DIRAS3	0	0	0	0
DIRC1	1	0	0	0
DIRC2	2	2	1	3
DIRC3	44	51	24	19
DIS3	163	133	137	157
DIS3L	165	124	80	113
DIS3L2	7	5	5	2
DISC1	6	1	2	4
DISC1-IT1	0	0	0	0
DISC1FP1	1	0	0	0
DISC2	20	19	17	10
DISP1	1	0	2	0
DISP2	1	1	0	0
DIXDC1	4	9	4	3
DKC1	34	47	30	34
DKFZP434A062	0	0	0	3
DKFZP434H168	1	2	1	2
DKFZP434I0714	0	2	0	0
DKFZp434J0226	0	0	0	0
DKFZP434K028	2	1	1	2
DKFZP434L187	7	7	10	4
DKFZp434L192	0	0	0	0
DKFZp451B082	0	0	0	0
DKFZP586I1420	1	1	1	0
DKFZp686K1684	1	2	1	3
DKFZp779M0652	0	0	0	0
DKK1	1	1	2	0
DKK2	0	0	0	0
DKK3	58	102	52	38
DKK4	0	0	2	1
DKKL1	0	0	0	1
DLAT	19	25	14	13
DLC1	12	17	4	2
DLD	9	6	6	9
DLEC1	68	57	72	69
DLEU1	11	8	5	5
DLEU1-AS1	0	0	0	0
DLEU2	32	34	30	41
DLEU2L	0	0	0	0
DLEU7	25	15	17	17
DLEU7-AS1	0	0	0	0
DLG1	23	38	16	25
DLG1-AS1	23	33	10	14
DLG2	0	0	0	0
DLG3	9	7	4	4
DLG3-AS1	1	3	0	3
DLG4	176	222	98	155
DLG5	18	14	6	8
DLG5-AS1	11	12	10	7
DLGAP1	1	0	0	0
DLGAP1-AS1	2	2	0	0
DLGAP1-AS2	0	0	0	0
DLGAP1-AS3	0	0	0	0
DLGAP1-AS4	0	0	0	0
DLGAP1-AS5	0	0	0	0
DLGAP2	0	0	0	0
DLGAP2-AS1	0	0	0	0
DLGAP3	0	0	0	0
DLGAP4	13	5	6	10
DLGAP4-AS1	1	1	1	6
DLGAP5	11	15	10	13
DLK1	0	0	0	0
DLK2	23	27	30	39
DLL1	0	0	0	0
DLL3	0	0	0	1
DLL4	0	0	0	0
DLST	48	62	35	63
DLSTP1	36	38	21	30
DLX1	5	5	2	0
DLX2	0	2	0	0
DLX2-AS1	0	0	0	0
DLX3	0	0	0	0
DLX4	0	0	0	0
DLX5	3	2	4	1
DLX6	0	1	3	2
DLX6-AS1	8	15	14	13
DMAP1	13	9	11	15
DMBT1	3	1	2	2
DMBT1P1	8	5	5	2
DMBX1	18	15	8	9
DMC1	9	17	13	14
DMD	0	0	0	0
DMGDH	0	0	0	0
DMKN	1	0	4	0
DMP1	0	0	0	0
DMPK	13	17	11	24
DMRT1	0	0	0	0
DMRT2	0	1	0	0
DMRT3	0	0	0	0
DMRTA1	0	0	1	0
DMRTA2	0	0	0	0
DMRTB1	0	0	0	0
DMRTC1	0	0	0	0
DMRTC1B	0	0	0	0
DMRTC2	0	0	0	0
DMTF1	112	82	56	65
DMTN	4	1	0	0
DMWD	0	2	1	2
DMXL1	4	3	1	1
DMXL2	2	2	2	2
DNA2	2	2	0	2
DNAAF1	32	48	36	49
DNAAF2	18	30	23	22
DNAAF3	26	12	15	20
DNAAF5	2	5	2	4
DNAH1	3	9	5	9
DNAH10	2	1	2	1
DNAH11	597	690	728	690
DNAH12	2	0	0	0
DNAH14	30	19	1	2
DNAH17	297	363	298	314
DNAH17-AS1	1	0	1	1
DNAH2	5	11	6	3
DNAH3	0	1	0	0
DNAH5	0	1	0	0
DNAH6	0	0	0	0
DNAH7	2	3	1	1
DNAH8	0	0	0	0
DNAH9	1	2	0	3
DNAI1	0	0	0	0
DNAI2	0	0	0	0
DNAJA1	70	140	55	65
DNAJA1P5	0	0	0	0
DNAJA2	25	63	30	45
DNAJA3	9	6	7	9
DNAJA4	12	7	5	4
DNAJB1	31	52	22	44
DNAJB11	48	148	61	67
DNAJB12	7	13	4	10
DNAJB13	1	9	6	8
DNAJB14	13	17	5	9
DNAJB2	7	9	5	9
DNAJB3	0	0	0	0
DNAJB4	5	10	9	4
DNAJB5	4	6	3	4
DNAJB5-AS1	0	0	0	0
DNAJB6	9	38	5	17
DNAJB7	184	151	174	195
DNAJB8	0	0	0	0
DNAJB8-AS1	0	0	0	0
DNAJB9	2	0	0	0
DNAJC1	5	2	3	5
DNAJC10	14	14	5	11
DNAJC11	69	93	89	75
DNAJC12	0	0	0	0
DNAJC13	15	20	6	20
DNAJC14	206	199	169	173
DNAJC15	0	4	3	2
DNAJC16	3	3	3	0
DNAJC17	36	41	50	27
DNAJC18	19	22	18	11
DNAJC19	6	5	8	5
DNAJC2	61	45	63	60
DNAJC21	32	36	14	25
DNAJC22	22	18	12	9
DNAJC24	150	133	128	130
DNAJC25	9	6	4	8
DNAJC25-GNG10	0	0	0	0
DNAJC27	0	0	0	1
DNAJC27-AS1	20	7	10	14
DNAJC28	0	2	0	0
DNAJC3	23	29	18	18
DNAJC3-AS1	0	0	0	1
DNAJC30	4	6	2	1
DNAJC4	21	25	12	12
DNAJC5	28	28	17	17
DNAJC5B	0	0	0	0
DNAJC5G	24	16	16	11
DNAJC6	2	11	3	8
DNAJC7	88	129	54	97
DNAJC8	29	50	36	49
DNAJC9	40	39	34	45
DNAJC9-AS1	74	79	88	99
DNAL1	90	95	48	62
DNAL4	0	1	0	0
DNALI1	21	21	20	27
DNASE1	178	192	186	199
DNASE1L1	28	39	34	23
DNASE1L2	3	8	2	5
DNASE1L3	0	1	0	0
DNASE2	2	4	4	4
DNASE2B	0	0	0	0
DND1	1126	1225	991	1088
DNER	0	2	1	1
DNHD1	106	108	95	82
DNLZ	19	15	26	18
DNM1	2	4	4	3
DNM1L	154	133	113	128
DNM1P35	3	2	4	4
DNM1P41	746	775	538	549
DNM1P46	8	6	5	4
DNM2	38	29	29	26
DNM3	0	0	1	2
DNM3-IT1	0	0	0	0
DNM3OS	2	1	0	0
DNMBP	6	12	6	11
DNMBP-AS1	535	506	477	499
DNMT1	86	112	55	85
DNMT3A	4	3	2	4
DNMT3B	0	3	1	1
DNMT3L	0	0	0	0
DNPEP	5	7	1	4
DNPH1	0	3	4	5
DNTT	0	0	0	0
DNTTIP1	14	22	5	14
DNTTIP2	31	68	32	60
DOC2A	776	840	815	733
DOC2B	0	0	0	0
DOC2GP	0	0	1	0
DOCK1	18	48	23	24
DOCK10	4	10	5	4
DOCK11	1	1	1	1
DOCK2	2	0	0	0
DOCK3	49	29	25	33
DOCK4	5	6	1	9
DOCK4-AS1	7	1	2	2
DOCK5	7	3	0	4
DOCK6	4	3	2	3
DOCK7	54	81	30	45
DOCK8	0	0	0	0
DOCK9	1	6	3	0
DOCK9-AS1	0	0	0	1
DOCK9-AS2	2	0	0	1
DOHH	1	1	1	2
DOK1	4	7	0	1
DOK2	0	1	0	0
DOK3	6	3	5	3
DOK4	131	142	125	152
DOK5	0	0	0	0
DOK6	16	6	5	4
DOK7	0	0	0	1
DOLK	3	2	2	2
DOLPP1	0	3	2	1
DONSON	25	21	15	16
DOPEY1	305	207	206	212
DOPEY2	14	19	7	8
DOT1L	130	163	121	136
DPAGT1	12	8	14	19
DPCD	2	2	6	2
DPCR1	0	0	2	0
DPEP1	0	0	0	0
DPEP2	0	0	0	0
DPEP3	0	0	0	0
DPF1	40	49	51	34
DPF2	8	11	8	8
DPF3	182	217	163	174
DPH1	9	11	4	5
DPH2	6	12	2	3
DPH3	0	8	5	3
DPH3P1	175	193	192	163
DPH5	2	8	2	5
DPH6	0	2	1	4
DPH6-AS1	2	1	0	0
DPH7	3	1	1	4
DPM1	14	13	6	6
DPM2	2	6	1	5
DPM3	0	3	0	2
DPP10	0	0	0	0
DPP10-AS1	0	0	0	0
DPP10-AS3	0	0	0	0
DPP3	15	10	21	23
DPP4	0	0	0	0
DPP6	0	0	0	0
DPP7	2	6	8	11
DPP8	6	8	7	6
DPP9	58	58	49	50
DPP9-AS1	1163	1346	1291	1178
DPPA2	0	0	0	0
DPPA2P3	0	0	0	0
DPPA3	10	18	7	9
DPPA4	5	4	3	5
DPPA5	0	0	0	0
DPRX	0	0	0	0
DPRXP4	0	0	0	0
DPT	0	0	0	0
DPY19L1	3	2	2	2
DPY19L1P1	168	185	180	193
DPY19L2	0	0	0	0
DPY19L2P1	0	0	0	0
DPY19L2P2	81	70	65	58
