	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
A1BG	120	61	163	139	94	114	139	56
AAAS	1209	1147	1591	2513	1180	1864	2029	1708
AACS	308	763	540	977	926	892	770	524
AAED1	297	212	499	397	661	483	349	220
AAGAB	1867	1111	2229	1471	1750	2213	2399	1125
AAMP	2423	1351	3041	3947	3178	3049	3221	2315
AAR2	1129	747	1950	1997	1481	1563	1903	1754
AARS	7889	9686	19251	8732	26496	14600	13877	5580
AARS2	661	662	846	1279	634	1168	1117	734
AASDH	585	429	449	191	257	420	363	332
AASDHPPT	1855	1233	1250	774	1209	1159	1345	1079
AATF	2758	1688	4084	3607	2881	3339	3409	2490
ABAT	437	107	480	235	427	463	431	262
ABCA5	997	1178	599	274	690	380	487	338
ABCA6	2242	436	2096	408	525	542	587	1770
ABCA7	426	420	649	953	536	428	659	834
ABCB10	6214	3676	5735	2460	618	3382	5669	4983
ABCB6	124	161	237	391	271	314	210	297
ABCB7	1544	947	1396	867	1705	1649	1523	459
ABCB8	257	303	442	574	548	460	540	499
ABCC1	3435	3518	7080	4466	3676	5464	7273	3940
ABCC10	424	319	788	778	537	574	961	620
ABCC4	2154	1379	2178	1367	1496	1990	2690	1113
ABCC5	270	245	514	724	649	856	538	417
ABCD2	1281	1151	534	236	213	461	521	433
ABCD3	829	677	378	395	649	398	459	433
ABCD4	668	465	1169	1062	853	1006	998	836
ABCE1	4325	4234	1846	1833	1986	2610	3542	2235
ABCF1	5395	3229	6699	5662	4575	6403	6720	4927
ABCF2	2507	1896	3693	4752	2806	4542	4616	2509
ABCF3	952	682	1694	2017	1845	1418	1592	1453
ABCG1	170	543	502	642	720	399	258	223
ABHD10	772	604	740	643	859	931	777	829
ABHD12	300	486	398	639	543	386	440	500
ABHD14B	1997	1044	3632	1815	1971	2398	3159	2659
ABHD15	719	510	1047	686	747	688	801	877
ABHD16A	632	520	1036	1296	852	810	935	721
ABHD17B	753	313	486	666	1044	330	462	583
ABHD17C	221	293	198	527	268	315	236	355
ABHD2	1941	1324	3370	2995	2741	2731	3515	2863
ABHD3	660	542	444	480	554	440	493	360
ABHD4	474	1460	1010	2095	1450	528	663	1432
ABHD5	390	375	321	267	253	293	303	222
ABHD6	166	341	348	203	631	151	221	161
ABHD8	255	211	195	273	206	225	274	196
ABI1	5107	3122	4522	2842	4112	3400	4694	4202
ABI2	814	396	1234	514	976	850	978	577
ABL1	607	693	1091	2002	2816	1028	1252	1111
ABL2	1391	1542	1573	1866	2154	1517	1872	1430
ABLIM1	2062	1088	3510	1588	2558	2600	3141	5525
ABR	3282	2380	5164	3969	5440	3040	3613	3645
ABRACL	969	568	1089	634	743	999	710	656
ABT1	661	536	858	791	759	693	858	767
ABTB1	718	489	1145	578	733	525	587	864
ABTB2	411	1245	911	2759	1883	1002	774	295
ACAA1	1351	968	1558	1884	1201	1396	1372	1108
ACAA2	933	921	1024	1176	1011	1423	840	1099
ACACA	1570	2654	1932	3249	1955	2685	3098	1696
ACAD10	707	508	1382	1015	752	951	1033	757
ACAD8	358	296	624	584	599	659	493	463
ACAD9	641	678	964	1352	787	1312	965	901
ACADM	2099	1991	1442	800	2326	1035	1234	1205
ACADS	117	264	232	561	295	297	361	352
ACADSB	1154	791	697	344	477	705	936	420
ACADVL	4379	3662	5989	7958	5249	8488	7098	3671
ACAP1	3587	1144	5349	2926	6037	4387	4688	2476
ACAP2	3615	2128	1979	964	1909	1454	2080	1609
ACAT1	939	568	809	780	1307	1021	965	983
ACAT2	861	2110	781	1405	1892	1385	972	1413
ACBD3	2048	1258	1550	931	1654	1199	1431	1459
ACBD5	943	491	705	559	800	544	667	650
ACBD6	1171	832	1569	971	1556	1452	1367	757
ACD	818	531	1043	895	638	1073	933	335
ACIN1	6944	3748	10462	8324	6448	8677	10667	7908
ACLY	4259	6342	6351	7595	6343	7485	7909	5395
ACO1	510	509	574	927	1016	948	809	730
ACO2	2268	2034	2968	5988	5305	3363	3567	2906
ACOT13	511	359	575	394	397	642	504	443
ACOT2	211	183	237	300	246	270	265	201
ACOT7	350	616	354	1425	599	934	553	857
ACOT8	464	223	526	452	501	463	525	423
ACOT9	1588	1028	2019	2273	3628	1823	2492	697
ACOX1	799	617	1154	849	1155	995	1079	1024
ACOX3	323	225	633	614	858	418	608	687
ACP1	1510	1414	1777	1240	1613	2033	1789	1753
ACP2	275	278	521	701	503	345	470	370
ACP5	1090	727	1093	1323	5483	510	1021	3019
ACSF2	217	226	449	342	447	399	305	481
ACSF3	546	469	1131	697	619	1000	1031	818
ACSL1	5788	6043	5813	3627	5091	5550	3825	3462
ACSL3	1468	3416	896	667	1242	574	1025	999
ACSL4	6396	7136	3069	2044	3416	2434	3382	1492
ACSL5	2181	1590	3135	2417	2124	2481	3368	2293
ACSS1	999	713	1315	1348	1185	1729	1640	1294
ACSS2	390	762	535	1029	746	527	735	1679
ACTA2	186	145	208	657	250	317	236	189
ACTB	158854	84790	186952	225187	125487	155588	164059	77166
ACTG1	132380	68164	142093	126145	154249	153626	163001	73273
ACTL6A	1369	1122	1363	1490	1437	1781	1818	1436
ACTN1	169	3988	804	1784	1534	556	534	1124
ACTN4	2320	3337	3078	5934	4000	3419	1887	2646
ACTR10	909	661	777	1525	1260	1183	1379	877
ACTR1A	3104	1749	5344	4273	3360	4351	4744	2982
ACTR1B	1839	1262	2663	2568	2071	2114	2153	1526
ACTR2	16437	12235	10164	6116	9473	9373	9515	8792
ACTR3	24417	11671	15920	11468	18193	14691	16716	11105
ACTR5	188	191	343	329	371	239	327	315
ACTR6	1581	974	816	524	909	787	1277	871
ACTR8	770	542	1145	776	997	935	958	832
ACVR1	580	545	514	726	335	390	1453	810
ADA	242	311	398	913	279	594	535	1373
ADAM10	3184	2765	1601	1711	1904	1421	1790	1325
ADAM15	343	439	494	1318	1150	591	448	256
ADAM17	821	671	1109	862	1291	727	991	782
ADAM19	1936	2993	3943	4141	5830	2336	1606	6174
ADAM28	1716	401	874	458	132	2110	1120	892
ADAM8	3040	2169	3780	1836	809	2251	3023	1755
ADAM9	518	1686	139	250	475	168	117	147
ADAMDEC1	584	1275	956	505	361	1739	526	355
ADAP1	312	307	307	814	671	542	197	82
ADAP2	211	436	677	669	1285	1114	989	379
ADAR	46243	20659	118013	39361	21405	77694	91232	57584
ADAT1	382	642	848	534	640	854	635	787
ADAT2	947	1047	596	406	360	973	967	557
ADCK1	243	148	316	435	234	324	370	335
ADCK2	571	557	802	1108	1019	1247	1067	1041
ADCK3	663	560	1538	897	571	1020	1171	1194
ADCK4	477	312	577	982	538	658	639	502
ADCY3	1290	1693	2129	2454	3922	1913	1591	1619
ADCY7	3071	1354	4962	2520	2387	2964	3879	3069
ADD1	7809	3559	15655	10222	8711	10245	10802	7330
ADD3	1329	1180	1354	504	1490	906	858	2041
ADGRE2	159	355	310	231	737	175	264	107
ADGRE5	6405	1798	10129	7320	11710	6668	8634	2810
ADH5	1342	759	1952	1203	1087	1681	1542	1742
ADI1	2354	1107	3387	2987	2625	2807	2655	3979
ADIPOR1	1587	1599	2513	3162	3325	2205	2415	2153
ADIPOR2	1567	2549	1888	2362	2011	2113	2387	2237
ADIRF	460	39	693	318	162	149	377	134
ADK	1968	1606	1615	1899	2054	2858	2293	930
ADNP	6225	3441	6988	3557	4182	5201	5598	5426
ADNP2	797	758	758	1112	1332	1133	937	664
ADO	1411	1017	1961	1155	1297	1942	1370	1088
ADORA2A	21	31	27	36	20	25	17	70
ADPGK	1964	2495	3091	2167	2091	2449	2891	2736
ADPRH	1465	1144	2304	1248	2469	2086	1866	1960
ADPRHL2	472	364	701	1048	1052	706	716	707
ADPRM	229	202	205	267	259	229	310	204
ADRBK1	12651	6324	21652	12741	9988	15021	19558	15464
ADRBK2	8888	5138	11605	3911	10215	6503	8610	6218
ADRM1	1629	1335	2008	2718	2396	1763	1990	1887
ADSL	1540	1540	1728	2918	2248	2391	2004	1929
ADSS	1859	1531	1430	1284	2162	1642	1908	1548
AEBP1	1138	300	1368	3354	2570	133	709	2120
AEBP2	1911	1524	1055	1408	1260	1261	1203	1010
AEN	4888	2095	4747	4790	2404	5609	8063	4463
AES	5591	4358	6903	7597	4070	5078	7184	6898
AFF1	1922	1804	2044	1634	1929	1936	2415	2563
AFF3	4308	879	8586	1655	3005	2094	2969	4918
AFF4	3131	2298	2466	1262	2883	1364	2786	2539
AFG3L2	1537	1705	1844	1859	1742	2076	2113	1897
AFMID	435	349	814	308	429	701	612	464
AFTPH	5535	2460	4210	1837	4823	2497	3032	2764
AGA	518	470	718	335	497	527	541	488
AGAP2	571	576	796	1254	1112	891	989	717
AGAP3	747	1177	1044	2588	1868	780	851	808
AGBL5	284	319	569	631	423	524	540	584
AGFG1	4962	2794	3489	3089	3285	4735	4187	2191
AGFG2	986	691	1885	2065	752	1728	2115	1309
AGGF1	1365	1200	892	338	655	562	660	638
AGK	814	1303	1101	1392	1577	2109	1321	643
AGL	1558	1323	1065	386	594	657	910	1073
AGMAT	259	414	489	379	251	438	521	1284
AGO1	1897	985	2529	2742	2032	2577	2671	1842
AGO2	751	584	827	1761	1423	1003	1094	414
AGO3	384	313	359	276	325	347	359	263
AGO4	759	856	837	673	1198	751	781	568
AGPAT1	887	615	1134	1311	769	1017	1305	1153
AGPAT3	4643	3506	8468	4672	3159	5161	6694	6672
AGPAT5	1648	1753	1276	791	959	1321	1564	1908
AGPAT6	2741	2570	5274	3606	2846	3433	3884	2349
AGPS	1591	1938	1085	905	1565	1224	1012	754
AGRN	81	905	111	618	2010	120	156	164
AGTPBP1	1673	2266	1072	595	1245	772	761	970
AHCTF1	1218	2479	838	389	930	556	646	716
AHCY	3704	3264	4468	4695	3697	6498	4865	5198
AHCYL1	4457	2933	7604	9376	6076	8688	11626	5212
AHCYL2	533	653	485	998	743	964	926	740
AHDC1	304	176	515	938	1283	347	378	760
AHNAK	33955	5767	59319	37085	26763	23082	24332	14218
AHSA1	3227	1897	4265	8394	3497	4244	4728	5167
AIDA	301	646	118	137	258	154	158	178
AIFM1	1091	985	1391	1706	1238	1674	1737	1293
AIFM2	200	314	371	448	582	249	301	539
AIM1	475	794	1321	803	1207	849	542	3708
AIM2	421	195	484	448	385	321	1109	755
AIMP1	1362	810	1119	601	749	1206	1146	733
AIMP2	545	401	839	743	588	701	610	327
AIP	3539	1644	5055	3376	2465	3538	3658	3910
AK2	3700	3877	5374	5000	4204	7253	5890	4985
AK3	1760	1334	1120	920	688	1373	1538	1374
AK6	839	514	434	294	427	463	634	267
AKAP1	1012	851	1552	1538	1151	1617	1830	883
AKAP10	854	582	957	551	798	701	917	729
AKAP11	5380	2430	3064	1041	2201	2046	2064	1438
AKAP13	14828	6791	24627	7781	15555	10692	12430	15372
AKAP8	1265	840	1732	1559	1090	1264	1783	1470
AKAP8L	1236	750	1726	1498	1708	1241	1719	1057
AKAP9	876	4554	1567	388	784	672	766	1052
AKIRIN1	4114	1840	4465	3149	5245	3733	5415	3121
AKIRIN2	1391	764	1636	2142	2332	1461	1608	1199
AKNA	8138	4651	15260	8792	10177	9758	11117	6934
AKR1A1	3737	1931	5868	5142	3087	4773	4765	5476
AKR1B1	1555	2136	1211	4355	2148	2443	2333	1092
AKR7A2	297	379	457	390	350	361	284	480
AKT1	2666	2298	3490	7184	2676	4412	4036	3769
AKT1S1	535	378	757	787	690	741	815	626
AKT2	2795	2430	4345	7489	9939	4101	6825	3299
ALAD	1286	676	1807	1279	926	1380	1463	2062
ALAS1	1488	1703	2139	2929	2767	2807	2723	2184
ALCAM	2735	2182	1506	2133	2599	1524	1574	1287
ALDH16A1	609	414	466	1186	972	687	680	710
ALDH18A1	1472	1965	2979	3424	3148	2844	3806	3221
ALDH1B1	581	742	650	797	568	872	1189	712
ALDH2	1013	1534	783	2218	7655	398	415	965
ALDH3A2	465	492	772	377	615	787	789	722
ALDH4A1	377	188	688	586	372	638	646	236
ALDH5A1	726	482	1603	566	752	1124	1142	1470
ALDH6A1	557	218	741	427	656	754	640	478
ALDH9A1	798	806	1542	1105	1882	1246	1152	1117
ALDOA	12039	10094	14837	24055	15848	17455	16898	16626
ALDOC	1171	1395	795	1179	846	1224	1416	1188
ALG1	406	423	441	550	609	472	491	635
ALG10	290	359	202	189	234	225	234	248
ALG10B	731	1254	212	348	329	350	598	384
ALG11	106	85	77	40	56	50	52	100
ALG12	308	310	419	463	279	386	355	442
ALG13	865	892	797	529	639	666	863	762
ALG2	1774	1320	2430	1358	1786	1476	2637	3143
ALG3	351	330	437	612	300	422	526	429
ALG5	726	516	567	560	786	643	692	338
ALG6	266	285	194	208	154	226	245	255
ALG8	362	379	532	516	346	665	725	528
ALG9	497	445	643	781	673	939	744	518
ALKBH1	369	216	534	378	399	458	473	385
ALKBH2	350	345	478	427	260	533	560	332
ALKBH3	346	299	459	436	582	476	598	355
ALKBH4	239	177	343	326	228	252	339	383
ALKBH5	2097	1145	3402	2507	3407	2574	2556	2641
ALKBH6	187	141	318	314	182	224	240	239
ALKBH7	472	378	500	463	449	358	423	292
ALKBH8	1045	589	560	225	408	407	508	471
ALMS1	564	1166	527	318	672	659	371	730
ALOX5	2719	1367	4817	1239	219	1971	2676	12680
ALOX5AP	304	245	1175	313	692	425	278	800
ALPK1	1167	822	2758	857	1435	1929	4474	1022
ALS2	811	645	804	689	681	766	869	667
ALYREF	1322	1200	1757	2283	1614	2086	1503	1583
AMBRA1	1584	1018	2969	2654	2002	2253	2878	1500
AMD1	4408	4275	2415	3170	3049	3338	2998	2913
AMDHD2	239	359	297	671	390	275	241	322
AMER1	317	237	746	544	449	712	697	961
AMFR	3397	1832	6009	4353	4567	3263	4698	3952
AMICA1	2015	2320	1914	907	110	1748	1646	619
AMIGO2	628	410	511	451	1376	400	692	219
AMMECR1	918	689	508	737	505	651	702	621
AMMECR1L	1474	932	1941	1923	1989	1891	1866	1071
AMN1	154	250	193	123	224	208	210	345
AMPD2	843	577	1218	3131	1066	1459	1435	1215
AMPD3	1151	1386	2010	1349	3405	1169	1492	1814
AMZ2	2143	1086	2419	1081	1296	2175	2318	1681
ANAPC1	1980	1769	2029	1826	1714	2674	2669	1831
ANAPC11	672	388	750	1884	397	671	591	544
ANAPC13	460	535	606	469	579	494	644	994
ANAPC15	311	269	324	533	219	309	384	339
ANAPC16	3874	2294	3719	1928	2860	3142	3311	2649
ANAPC2	1046	624	1533	2448	1230	1536	1587	1078
ANAPC4	1387	892	955	684	937	887	959	798
ANAPC5	3506	3802	5462	7143	5641	5738	5367	6108
ANAPC7	1181	1409	1453	1996	1595	1681	1545	1418
ANGEL1	648	544	902	1307	738	1277	1171	832
ANGEL2	1115	741	1064	962	1397	1068	993	878
ANK3	23	59	70	106	166	45	118	91
ANKFY1	1418	1010	2009	2061	1641	1792	2379	2256
ANKH	934	595	1667	2332	681	2543	3157	1030
ANKIB1	3404	2065	2969	1623	2299	1897	2231	1899
ANKLE1	224	222	221	687	310	540	362	192
ANKLE2	15034	10623	19174	12120	11293	17166	19487	3480
ANKMY1	228	215	354	256	345	234	265	278
ANKMY2	228	221	293	121	277	161	143	203
ANKRA2	672	243	683	368	605	548	669	421
ANKRD10	4851	3307	4641	2180	3059	2816	4260	3481
ANKRD11	5529	4562	6553	3076	3450	5128	5326	2667
ANKRD12	2403	7462	3245	646	2027	971	1401	3511
ANKRD13A	6636	4778	10486	7902	8640	8022	13304	6212
ANKRD13C	1493	672	913	875	952	655	1055	938
ANKRD13D	575	420	724	558	481	477	511	406
ANKRD16	557	284	889	1709	985	743	997	627
ANKRD17	5461	3619	4839	5347	4602	4451	5374	4458
ANKRD26	155	724	182	69	176	151	129	199
ANKRD27	2030	1256	2838	1802	2257	2158	2605	1566
ANKRD28	2801	4627	1659	1786	1067	1912	2315	976
ANKRD32	318	461	145	138	159	276	287	242
ANKRD33B	24968	12948	30056	16603	16938	21568	40099	5670
ANKRD36	322	818	221	171	198	189	183	249
ANKRD36B	230	559	118	125	88	128	97	145
ANKRD40	2314	1032	2226	2010	1945	2201	2951	1590
ANKRD44	6255	3358	6430	2176	2746	4095	4631	4232
ANKRD46	675	399	531	345	511	545	531	507
ANKRD49	1059	637	652	309	427	563	696	575
ANKRD52	2538	2527	3812	6858	4378	4293	4865	4368
ANKRD54	301	226	444	496	360	448	489	371
ANKS1A	515	539	921	961	599	651	857	1043
ANKZF1	843	587	1674	708	806	1327	1249	872
ANO6	1017	2058	340	502	1820	966	251	643
ANO9	534	249	1357	334	226	498	573	405
ANP32A	7987	4425	9776	4492	5286	7570	6987	6015
ANP32B	7246	7531	8345	8528	9601	9278	8338	6788
ANP32E	9766	6668	5729	4040	7514	4595	4453	5042
ANXA1	45	808	170	305	556	206	162	444
ANXA11	5318	2709	8809	7201	7423	5243	6832	4864
ANXA2	1663	2309	2947	3138	3101	2442	2040	1953
ANXA4	638	441	579	2704	725	1092	1009	546
ANXA5	4427	3187	6721	6765	6767	5799	3330	5421
ANXA6	24407	12994	47057	36463	34124	32129	26577	7572
ANXA7	5287	3976	7987	5399	4976	5460	6155	4524
AP1AR	1454	836	1046	330	1192	756	1086	421
AP1B1	6157	3421	7519	6687	6775	8053	6666	5854
AP1G1	3121	2057	3753	2741	4329	3168	4111	3379
AP1G2	1296	910	2529	1622	1445	1780	1500	930
AP1M1	1664	1255	2287	3599	1561	2338	2468	3585
AP1S1	1353	364	1649	1252	770	1463	1474	1097
AP1S2	1475	854	847	792	968	1053	907	549
AP1S3	3535	1395	3005	1419	1875	1907	3277	1979
AP2A1	1902	1490	2082	5747	2363	2843	2467	2109
AP2A2	1296	790	1917	2075	1730	1844	1960	950
AP2B1	5906	3210	8933	5643	6109	7083	8000	4943
AP2M1	5348	3649	8137	13409	7677	6916	7854	8736
AP2S1	1230	623	1439	2152	981	1120	1035	1246
AP3B1	3120	1858	3567	2181	1292	4101	6264	5847
AP3D1	4459	3125	6625	8542	6389	6335	7296	4379
AP3M1	2801	2193	2306	1822	1887	2589	2822	1938
AP3M2	722	619	803	465	478	1642	1057	336
AP3S1	743	524	660	1538	1329	799	669	758
AP4B1	476	414	698	815	613	738	581	652
AP4E1	783	946	447	360	596	494	498	631
AP4M1	496	293	668	584	459	717	733	415
AP5B1	668	682	1081	1024	1242	791	922	1043
AP5M1	1190	1219	897	417	852	721	833	875
AP5Z1	792	686	1172	919	879	654	913	650
APAF1	1692	794	1171	914	1198	1011	1134	844
APBA3	534	368	686	731	487	462	505	570
APBB1	682	171	966	558	811	737	572	425
APBB1IP	4565	2867	8292	4028	4696	4833	4133	3364
APBB2	363	644	323	864	309	472	293	1090
APC	1111	1866	734	438	606	485	621	984
APEH	2265	1662	2919	4337	2395	3481	3770	3026
APEX1	6600	3483	8450	6929	5708	8562	7575	6849
APEX2	766	711	1291	1344	1000	1564	1308	1515
APH1A	2739	1852	4080	5810	5048	3381	4211	3133
APH1B	347	682	831	557	986	527	572	736
API5	4155	3398	2792	2152	3007	2850	3273	2688
APIP	1049	737	906	499	499	661	1082	744
APLF	235	242	198	75	167	140	110	121
APLP2	2497	2513	3528	4201	3517	3463	3337	1907
APMAP	987	1479	1970	1448	1398	1227	1419	1521
APOA1BP	969	853	1497	1291	1465	1347	1497	1320
APOBEC3B	38	69	39	119	42	95	67	194
APOBEC3C	2805	1011	4255	3160	3667	3926	4779	3841
APOBEC3D	914	349	1286	1283	927	1374	1626	1123
APOBEC3F	902	332	1457	1142	1150	1430	1368	1560
APOBEC3G	2733	1409	5111	2751	3700	3299	4432	4912
APOL1	1089	1333	3580	3397	784	2658	2983	4319
APOL2	827	767	2575	2572	1213	1463	3069	2566
APOL3	641	547	982	1292	837	1485	1713	3116
APOL6	2862	2050	5555	2056	967	5471	11049	5692
APOO	163	161	109	185	121	228	172	96
APOOL	951	661	419	255	512	218	591	594
APOPT1	483	343	823	323	503	548	501	281
APP	734	6695	2157	4999	483	4130	5278	13475
APPBP2	1842	796	1181	1015	1345	966	1536	1181
APPL1	4391	3239	2374	1093	1092	1776	2569	2477
APPL2	560	521	553	432	398	429	519	557
APRT	1243	1110	1417	1748	786	1659	1830	960
APTX	649	577	901	822	803	984	851	701
AQR	1893	1419	1578	1033	1402	1624	1538	1033
ARAF	1550	1355	2570	2405	1799	1789	2138	2128
ARAP1	3513	2317	5975	4609	3925	4003	4460	4154
ARAP2	1346	3012	1012	586	1052	540	1011	1059
ARCN1	6592	3832	7490	5724	8106	6222	8403	8058
AREL1	1852	1516	2731	2420	2800	2771	3073	2152
ARF1	9550	6507	12647	9993	7194	9876	13065	12354
ARF3	4383	3262	6791	7138	5614	6889	7186	5537
ARF4	2716	1707	2881	3725	4436	2877	3483	2665
ARF5	2290	1290	2657	4684	2985	2544	2649	1998
ARF6	13454	6186	12132	7571	9570	7765	11990	6945
ARFGAP1	1240	879	1727	2248	1633	1357	1599	1695
ARFGAP2	3291	1863	4759	4934	4476	5043	5332	4688
ARFGAP3	1678	1121	1443	724	3198	874	1194	1126
ARFGEF1	2743	2085	1819	1182	2061	1317	1671	1393
ARFGEF2	4880	4183	4637	2746	4832	3537	4795	4420
ARFIP1	874	462	542	354	739	410	597	372
ARFIP2	854	580	1185	1315	1210	894	1275	1407
ARFRP1	601	644	780	1025	628	761	798	537
ARGLU1	3612	3004	3640	1628	2781	2944	2801	2608
ARHGAP1	1230	780	2148	2411	1727	1704	1876	2345
ARHGAP12	1137	849	596	257	683	288	466	562
ARHGAP15	2581	1191	2095	792	1383	1374	1783	2033
ARHGAP17	2422	835	6191	2124	4141	2809	3034	2792
ARHGAP19	616	751	713	693	936	856	783	1009
ARHGAP24	2210	427	4378	894	1840	1415	1339	2791
ARHGAP25	18923	7295	27669	12277	16622	17181	20410	11310
ARHGAP27	481	501	1150	1190	783	961	954	1054
ARHGAP30	9107	5001	17323	10657	20382	10712	11735	8054
ARHGAP31	4456	2448	11951	6188	4146	8901	7655	5024
ARHGAP35	2128	1351	3061	2816	2233	2254	2637	2289
ARHGAP4	1525	1245	2105	2459	2464	1971	1652	2410
ARHGAP42	260	109	114	182	207	115	199	186
ARHGAP5	1977	3475	871	849	804	832	988	1247
ARHGAP9	807	624	1611	1189	1760	949	1117	1295
ARHGDIA	9504	5402	11200	16203	9937	9993	11888	8744
ARHGDIB	11812	5490	12622	14308	12029	14656	8552	11013
ARHGEF1	2436	1593	3144	5107	2848	2774	3591	2936
ARHGEF12	2694	1751	2212	1607	1582	3078	2192	1335
ARHGEF18	2960	1809	4385	3478	2342	3393	3873	2741
ARHGEF2	8317	3374	14048	9879	13405	9808	8970	4461
ARHGEF3	1119	733	2873	1436	1655	1225	2713	6069
ARHGEF6	1677	1476	1743	877	1298	1102	1572	2096
ARHGEF7	2339	1619	4259	2221	2622	2573	3508	2825
ARID1A	4805	3209	6721	7870	5157	5978	6410	4720
ARID1B	3116	2174	3990	3496	3121	3026	3557	3073
ARID2	2084	1819	1150	1245	1104	1056	1266	1308
ARID3A	2020	600	2959	2291	3317	1426	2050	1572
ARID3B	1088	628	2028	1027	549	1380	1541	1353
ARID4A	1901	1757	983	506	992	687	571	726
ARID4B	4699	4305	2501	1029	1072	1661	1942	1831
ARID5A	5556	6232	6572	8285	3592	8320	8498	4089
ARID5B	7131	2654	5870	3363	4316	4828	7625	4134
ARIH1	3018	2144	2558	2743	3144	2737	3150	1531
ARIH2	2258	1729	3388	2878	2845	2750	3141	2567
ARL1	2088	1898	1687	2121	2567	1642	2155	1764
ARL13B	314	513	248	122	180	184	201	249
ARL14EP	1644	1015	1061	456	722	617	1229	845
ARL2	1720	954	1361	1541	691	1778	2027	990
ARL2BP	677	570	996	581	1055	676	738	706
ARL3	631	191	617	534	586	500	641	382
ARL5B	496	551	310	275	324	348	570	542
ARL6IP1	4599	3907	4966	3461	5967	3433	4394	3779
ARL6IP4	4991	2112	5586	4065	4166	4932	5381	4222
ARL6IP5	3529	2630	3338	2533	3178	2617	2618	3116
ARL6IP6	464	624	642	834	1082	1111	664	638
ARL8A	1330	667	1708	2105	2850	1190	1564	1071
ARL8B	4003	4640	3118	2534	5153	2937	3640	1646
ARMC1	1681	1212	1184	1109	1376	1304	1631	1378
ARMC10	847	627	861	579	696	868	869	619
ARMC5	501	295	677	584	330	648	624	412
ARMC6	1039	795	936	2091	765	1585	1793	1481
ARMC8	1796	975	1387	974	1389	1184	1516	1158
ARMCX2	363	255	892	310	752	648	389	731
ARMCX3	1969	730	1876	869	2094	1351	1615	856
ARMCX5	293	178	359	133	203	234	291	301
ARMCX6	543	341	1143	467	944	674	588	679
ARMT1	970	845	579	353	683	584	642	481
ARNT	2127	1094	3729	2688	3551	3124	2881	2527
ARNTL	221	380	347	815	561	379	640	353
ARPC1A	1855	975	2122	1951	1171	2009	2445	1496
ARPC1B	5929	5210	7657	8948	5659	5759	5691	5310
ARPC2	25555	13386	27617	20701	18415	26193	26099	18603
ARPC3	3878	5349	2859	5111	6206	4367	4530	5123
ARPC4	7213	3166	8787	6184	4414	5425	7042	4090
ARPC5	5356	4606	6702	7965	8391	5813	5369	5396
ARPC5L	2404	1528	3328	2934	3962	3988	3351	2265
ARPP19	12429	6563	10766	5080	6897	7586	11684	7866
ARRB2	1394	2665	2057	2224	1734	1932	2204	1615
ARRDC1	453	534	525	553	528	456	536	385
ARRDC2	633	583	1052	1170	2240	785	1027	462
ARSA	136	281	229	396	226	179	253	354
ARSB	937	882	1510	1128	580	1409	1606	1146
ARSG	175	174	467	201	190	364	354	330
ASAH1	3567	2383	2906	1589	4968	1631	2295	2041
ASAP1	2680	2066	2695	2516	2322	2685	2157	806
ASB1	1226	834	2586	1374	1471	1801	1849	1409
ASB6	881	453	1185	1116	1140	1023	1308	902
ASB7	1304	596	1571	660	1143	1083	1580	988
ASB8	1162	707	1368	1464	1211	1206	1323	1132
ASCC1	2636	1419	2989	1473	4048	2293	2928	1031
ASCC2	1742	1126	3088	2358	1939	2538	2699	1946
ASCC3	3434	2663	2346	1158	1960	2039	2049	2111
ASF1A	681	310	479	320	224	554	307	575
ASF1B	132	850	328	1525	805	1622	281	1861
ASH1L	4847	3006	4070	1724	3751	2360	3625	3014
ASH2L	1136	937	1444	1971	1554	1563	1381	1713
ASL	379	221	411	841	771	464	300	353
ASNA1	1478	1033	2170	4622	2331	1912	2433	2042
ASNS	2943	3281	4305	2356	4122	5264	4010	1594
ASNSD1	3641	1739	2236	902	1386	1959	2277	1821
ASPHD2	828	357	1687	723	1195	1059	2031	332
ASPSCR1	395	276	560	825	441	494	501	678
ASTE1	293	233	298	296	273	285	234	426
ASUN	1596	1161	792	891	805	1056	1665	923
ASXL1	5047	2892	10871	5993	8915	7120	7920	6352
ASXL2	1835	1945	2177	1341	1966	1936	2357	1646
ATAD1	1555	1274	948	599	1134	1135	1271	412
ATAD2	621	2208	364	736	959	913	494	1222
ATAD2B	1829	1116	1058	673	867	796	1060	928
ATAD3A	412	681	426	1273	533	665	724	578
ATAD3B	386	394	372	699	375	562	512	300
ATAD5	420	1808	294	313	212	567	397	780
ATE1	739	623	532	282	722	413	502	545
ATF1	1168	900	669	529	740	647	956	698
ATF2	3096	1640	2041	1218	2438	1551	2159	1623
ATF3	1418	2327	2045	2174	1613	2930	4252	1349
ATF4	13070	15468	21579	9813	18548	18996	19882	7110
ATF5	36842	19976	66424	13093	21085	24653	68531	20348
ATF6	2754	1689	3493	1682	3969	2417	2803	1967
ATF6B	2186	1560	3968	3319	2954	3005	3972	3411
ATF7	1038	779	1591	1790	1126	1839	1947	1317
ATF7IP	7602	5523	7012	3375	2921	5941	7095	7756
ATG101	812	587	1058	1265	1163	880	909	594
ATG12	1799	923	1308	1041	1243	1418	1515	1119
ATG13	1981	1591	3964	2775	3115	2682	3524	3054
ATG16L1	725	561	1116	1170	1182	913	1121	1042
