	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
ZNF22	2788	1798	2264	1154	1308	2105	2566	1320
ZNF224	297	236	274	101	139	109	162	201
ZNF226	502	275	689	264	309	373	431	450
ZNF227	746	404	545	287	377	320	480	510
ZNF230	471	161	428	199	196	198	320	217
ZNF236	692	613	832	461	599	602	776	533
ZNF24	5297	3652	2981	1267	2178	2119	3151	2385
ZNF250	505	199	662	254	335	579	585	192
ZNF251	448	214	585	251	384	318	536	364
ZNF253	629	560	396	247	228	272	437	585
ZNF254	331	321	238	127	199	164	239	276
ZNF256	372	204	411	265	235	352	506	388
ZNF263	1300	696	2085	1510	1611	1573	2186	1291
ZNF264	1507	518	2184	1176	1825	1536	2088	1571
ZNF266	3226	1195	1666	1314	1198	1070	1672	2395
ZNF267	2520	3365	2366	936	816	1303	3004	3450
ZNF268	329	1023	390	206	312	224	238	406
ZNF274	1024	544	1625	892	1194	1027	1350	1171
ZNF275	1515	687	2848	1091	726	1519	2665	1595
ZNF276	375	324	495	534	383	426	551	437
ZNF277	1412	1137	659	315	728	565	866	503
ZNF28	437	349	226	122	166	190	233	349
ZNF280C	315	230	180	183	150	384	246	216
ZNF280D	376	511	376	223	210	327	394	438
ZNF281	1586	1205	1056	620	1096	876	1064	1125
ZNF282	925	639	1245	1593	1162	1271	1595	782
ZNF292	2297	4238	1935	568	804	915	1102	1755
ZNF296	306	147	328	402	297	245	343	212
ZNF3	966	542	1221	960	665	1034	1401	1304
ZNF304	513	336	604	389	460	498	636	462
ZNF316	949	710	1500	1237	1368	878	1154	945
ZNF317	1650	1088	2378	2119	1710	1852	2463	2049
ZNF318	2433	1034	2627	962	2353	1998	1579	803
ZNF319	269	171	456	337	312	280	341	295
ZNF32	549	327	789	405	358	551	620	398
ZNF320	1002	587	683	320	335	604	833	752
ZNF324	336	217	471	581	649	445	530	269
ZNF326	681	817	490	517	438	575	517	484
ZNF329	659	193	910	373	626	653	806	569
ZNF330	1108	600	1011	809	898	778	1077	895
ZNF331	443	366	520	348	617	429	501	338
ZNF333	486	284	503	501	300	565	616	412
ZNF335	695	548	1194	1228	1416	904	1128	987
ZNF337	1018	589	1365	424	517	839	1091	505
ZNF33A	1247	2525	1162	483	521	627	916	860
ZNF33B	837	991	913	290	176	597	834	711
ZNF341	290	238	275	288	205	309	293	574
ZNF346	590	427	884	665	499	902	819	753
ZNF354A	318	433	168	61	136	125	167	97
ZNF358	491	173	135	424	436	258	228	290
ZNF362	323	278	689	411	391	431	366	747
ZNF382	260	160	78	125	58	94	196	160
ZNF383	428	197	333	234	256	248	410	340
ZNF384	1480	1682	2657	2884	2145	2191	3093	2123
ZNF385A	295	451	293	1137	2036	387	371	320
ZNF394	693	424	1106	559	727	594	781	727
ZNF395	2805	1139	5033	2096	2772	2840	2991	3956
ZNF397	1239	716	906	449	506	798	893	778
ZNF398	818	473	1264	794	1114	854	894	820
ZNF407	867	564	874	388	446	657	683	493
ZNF408	255	198	410	400	380	320	336	310
ZNF41	550	433	452	153	236	300	340	454
ZNF410	2160	1059	3664	2078	3774	2603	3094	1912
ZNF414	130	124	161	255	88	141	227	185
ZNF416	247	111	424	293	288	263	328	267
ZNF419	599	204	1009	267	453	523	873	477
ZNF420	526	210	208	105	108	94	225	189
ZNF426	560	295	308	303	181	402	531	479
ZNF428	266	193	347	327	94	233	318	250
ZNF429	294	145	198	57	93	120	116	166
ZNF43	384	649	262	150	115	256	245	365
ZNF430	629	699	377	162	389	208	235	365
ZNF431	460	475	276	193	237	253	279	316
ZNF436	371	176	492	250	433	405	374	236
