,GPB.vs.GPA.Gene,GPB.vs.GPA.mRNA_logFC,GPB.vs.GPA.mRNA_FDR,GPB.vs.GPA.Change_type,GPB.vs.GPA.P.value,GPB.vs.GPA.FDR,GPB.vs.GPA.Direction
3068,IFT122,-0.837044023934027,0.63278607444747,translational_only,0.912808406373217,0.995408174822243,1
3069,IFT172,-0.807289767693944,0.675883795339095,translational_only,0.77509240101812,0.987192830360673,-1
3070,IFT20,0.300655538685609,0.907905851775685,translational_only,0.328008274332898,0.865837638462791,-1
3071,IFT27,-0.353479654954677,0.91432467814916,translational_only,0.748605825760803,0.984436711240199,1
3072,IFT43,-0.256936628637692,0.969165012827275,translational_only,0.412101327064334,0.907369139740744,-1
3073,IFT46,-0.417594976098618,0.853326930658665,translational_only,0.458522091730537,0.929432656517325,1
3074,IFT52,-0.257546121649566,0.933348655202964,translational_only,0.662539768321177,0.976402475603402,1
3075,IFT57,0.139430643967301,0.969165012827275,translational_only,0.067406192681808,0.462811155604646,-1
3076,IFT74,1.52403125173392,0.203820615452317,both,0.002109494894503,0.051676018981407,-1
3077,IFT88,1.47680505974996,0.2745910633422,translational_only,0.019957407426749,0.225375972553128,-1
3078,IGBP1,-0.096995961532995,0.984945408998969,translational_only,0.956555592140074,0.998549688396844,-1
3079,IGF1R,1.99060541260142,0.253973892558594,both,0.576269757760888,0.955090031385172,-1
3080,IGF2R,-1.153748624955,0.315859690874332,translational_only,0.796393466080097,0.991704015522641,-1
3081,IGFBP4,-0.854322506970059,0.449873078666699,translational_only,0.41486522251555,0.909911873083639,1
3082,IGFLR1,-1.13557263564119,0.236348983432753,translational_only,0.441406979873327,0.922370477993707,-1
3083,IGHMBP2,-0.482312037336249,0.837538358477802,translational_only,0.699230012989651,0.983666823213111,-1
3084,IGSF3,-0.464910962003316,0.883165500134565,translational_only,0.385293448769122,0.89958696589202,1
3085,IGSF8,0.118744589846606,0.980176467534824,translational_only,0.295092033125408,0.840670123551644,-1
3086,IK,0.26961083061912,0.849424519665879,translational_only,0.091606660159701,0.535848728970053,-1
3087,IKBIP,1.28224496162784,0.281830787704439,translational_only,0.230317669475869,0.778754588726213,-1
3088,IKBKAP,-0.056863419660613,1,translational_only,0.469783546439795,0.933013081806956,-1
3089,IKBKB,-0.277618738118371,0.885653734798019,translational_only,0.964560773793805,0.998549688396844,1
3090,IKBKE,-0.688880281483312,0.642425299475431,translational_only,0.862526153164862,0.994344153929159,1
3091,IKBKG,0.099108147803999,0.980957547425396,translational_only,0.717328889029282,0.984436711240199,-1
3092,IKZF1,-0.201204606490593,0.9162551494269,translational_only,0.39950911450339,0.903694886537629,1
3093,IKZF3,-0.739428767538738,0.714617819122199,translational_only,0.544786083871747,0.951414417066811,1
3094,IKZF5,0.266752306868736,0.896684303233274,translational_only,0.772880736160737,0.98716071359418,-1
3095,IL10RA,-0.280727581649936,0.941076814593382,translational_only,0.430088009081773,0.920479208848927,1
3096,IL10RB,-0.613318337448762,0.664361505882665,translational_only,0.544053056605593,0.951414417066811,1
3097,IL13RA1,0.049372815215485,0.996807808884323,translational_only,0.514788375537037,0.941353502275978,1
3098,IL15RA,-0.158800058972309,0.980744168318874,translational_only,0.844828085345158,0.993749382864656,1
3099,IL16,-0.586529748907077,0.696541123353622,translational_only,0.682841448354407,0.98035407527808,-1
3100,IL17RA,-0.495636272192735,0.722590583034529,translational_only,0.577051587814753,0.955294939596884,1
3101,IL21R,-0.258067752499874,0.891556629534811,translational_only,0.434949719880874,0.921577598925268,1
3102,IL23A,1.71686153318352,0.083013933129747,both,0.345587064642728,0.874529450694225,1
3103,IL27RA,-0.530850202647899,0.867284604254567,translational_only,0.388817716836884,0.900461938719798,-1
3104,IL2RA,0.436776707433764,0.807137773423786,translational_only,0.789807605142265,0.99062673809887,1
3105,IL2RB,-1.274347655832,0.325073716514306,translational_only,0.708557671877128,0.984304655913572,-1
3106,IL2RG,-0.422733925731158,0.734601227402313,translational_only,0.499263967022582,0.939894655710408,-1
3107,IL32,-0.710094357660473,0.810182131876925,translational_only,0.777184159184068,0.987676253773356,1
3108,IL4I1,0.183377516915561,0.938465703959145,translational_only,0.031730771663476,0.306191508798705,-1
3109,IL4R,-0.32569536601209,0.877229637643004,translational_only,0.863832726446869,0.994344153929159,1
3110,IL6R,-0.359818571282846,0.898726825950373,translational_only,0.301761425726187,0.846855108468121,1
3111,IL6ST,1.80294840050381,0.039740202026937,both,0.027978573192264,0.281803071105596,-1
3112,ILDR1,-1.08376836914702,0.584768642465781,translational_only,0.427996552292496,0.919578989748545,-1
3113,ILF2,-0.508039253676322,0.691441478862771,translational_only,0.35755085045361,0.882520336395176,-1
3114,ILF3,-0.462820323054008,0.698957245151972,translational_only,0.617844014520008,0.969409655496293,1
3115,ILK,-0.895870125657821,0.253973892558594,translational_only,0.84205260067056,0.993749382864656,-1
3116,ILKAP,-0.299715141970159,0.887675870112921,translational_only,0.811008961263671,0.993749382864656,-1
3117,ILVBL,-0.491913156171965,0.832410997013774,translational_only,0.682526453201294,0.98035407527808,-1
3118,IMMT,-0.241232461078807,0.898633698952773,translational_only,0.944407590285961,0.998235644426324,-1
3119,IMP3,-0.54716784169086,0.679334944425737,translational_only,0.387817676607584,0.900406137181122,1
3120,IMP4,-0.49883810706758,0.713216351408712,translational_only,0.953987901347293,0.998549688396844,1
3121,IMPA1,0.646943740028733,0.652291239567014,translational_only,0.23241024296292,0.779492552462738,-1
3122,IMPAD1,0.098870891724948,0.972750727534991,translational_only,0.879537920206025,0.994344153929159,1
3123,IMPDH1,-0.124125777056967,0.992396460254577,translational_only,0.075219068111486,0.488152753789068,-1
3124,IMPDH2,-0.572417221980945,0.643164821369883,translational_only,0.976581710990944,0.998549688396844,-1
3125,INCENP,-0.455248427435318,0.849345930191013,translational_only,0.337676949970628,0.872604865831065,-1
3126,INF2,-0.109322763690839,0.99660771350824,translational_only,0.838477228996713,0.993749382864656,-1
3127,ING1,-0.382132895995371,0.909726948621803,translational_only,0.924856258095283,0.997281058278136,1
3128,ING3,0.655225480519945,0.662248356026722,translational_only,0.210335273689095,0.757775284454357,-1
3129,ING4,-0.456334976788399,0.832410997013774,translational_only,0.854310306280644,0.993749382864656,1
3130,ING5,-0.694117034888037,0.599928015194179,translational_only,0.32903579985258,0.866370927089349,1
3131,INIP,-0.167100250164012,0.981162545926306,translational_only,0.603481940895703,0.964767152554401,-1
3132,INO80,-0.309384720744802,0.847970086093138,translational_only,0.986118809605005,0.999021941489714,1
3133,INO80C,-0.529918724408642,0.825613836840301,translational_only,0.822374253919467,0.993749382864656,1
3134,INO80D,0.676197608270188,0.502195399844586,translational_only,0.447851302415583,0.924607466873584,-1
3135,INO80E,-0.270382061037393,0.922576901237003,translational_only,0.53333946812433,0.94724941133767,-1
3136,INPP1,-1.48041570290277,0.290835829984252,translational_only,0.498466579723342,0.939566543081076,-1
3137,INPP4A,-0.815986096389148,0.612199263056145,translational_only,0.985954175211028,0.999021941489714,-1
3138,INPP5B,-0.531020228906187,0.7203627757138,translational_only,0.562003085985861,0.953249970515434,-1
3139,INPP5D,-0.716231181554988,0.488780315207796,translational_only,0.480129425057919,0.934728539597776,-1
3140,INPP5E,-0.218608389780143,0.973520781936924,translational_only,0.629033315992762,0.970886938777152,-1
3141,INPP5F,0.106299085775382,0.977177554780078,translational_only,0.293118332915307,0.840085559899961,-1
3142,INPP5K,-0.586230470463718,0.670245332686751,translational_only,0.520634828483717,0.943044700755097,-1
3143,INPPL1,-0.675679094904788,0.579008068570977,translational_only,0.757200763874369,0.984436711240199,1
3144,INSIG1,0.391877496189369,0.775434331178699,translational_only,0.332060497908752,0.868246309487724,1
3145,INSIG2,0.584086927594674,0.714418905453774,translational_only,0.735280992282152,0.984436711240199,-1
3146,INTS1,-0.411495769658353,0.770525970989023,translational_only,0.487982884402246,0.936666667176698,-1
3147,INTS10,0.062742387340498,0.988787072501067,translational_only,0.845519767818978,0.993749382864656,-1
3148,INTS12,0.119060864127422,0.970907145274943,translational_only,0.21372746563451,0.760885340338392,-1
3149,INTS2,0.538254277010136,0.682729065025824,translational_only,0.113833680211723,0.591551994510346,-1
3150,INTS3,-1.00156715342929,0.298442876239403,translational_only,0.89761422820236,0.994746689651404,1
