,Control.vs.Treated.Gene,Control.vs.Treated.mRNA_logFC,Control.vs.Treated.mRNA_FDR,Control.vs.Treated.Change_type,Control.vs.Treated.P.value,Control.vs.Treated.FDR,Control.vs.Treated.Direction
5825,ERMN,0,1,translational_only,NA,NA,1
5826,ERMP1,0.518154091175236,1,translational_only,NA,NA,1
5827,ERN1,-0.117801725625242,1,translational_only,NA,NA,1
5828,ERN2,0.085310131814238,1,translational_only,0.916085199902081,1,-1
5829,ERO1A,0.645591494708835,1,translational_only,NA,NA,1
5830,ERO1B,-0.251915599649475,1,translational_only,0.588759889655706,1,1
5831,ERP27,-3.23817191994912,1,both,NA,NA,1
5832,ERP29,0.12265056713587,1,translational_only,0.505799742629237,1,-1
5833,ERP44,0.38518131658978,1,translational_only,0.518835427536143,1,-1
5834,ERRFI1,0.262461383862017,1,translational_only,NA,NA,1
5835,ERV3-1,0,1,translational_only,NA,NA,1
5836,ERVFRD-1,0.465319405320322,1,translational_only,NA,NA,1
5837,ERVH48-1,2.26648612961222,1,both,NA,NA,1
5838,ERVK13-1,0.135008026221585,1,translational_only,0.808435557159954,1,1
5839,ERVMER34-1,0,1,translational_only,NA,NA,1
5840,ERVV-1,0.178765188684951,1,translational_only,0.967635721703911,1,-1
5841,ERVV-2,0,1,translational_only,NA,NA,1
5842,ESAM,-0.795689461028977,1,translational_only,NA,NA,1
5843,ESCO1,3.09544226581651,1,both,NA,NA,1
5844,ESCO2,0.716312306980784,1,translational_only,NA,NA,1
5845,ESD,1.04366620950348,1,translational_only,NA,NA,1
5846,ESF1,1.18130963026748,1,translational_only,NA,NA,1
5847,ESM1,2.26649952331317,1,both,NA,NA,1
5848,ESPL1,0.803586643789344,1,translational_only,NA,NA,1
5849,ESPN,0.108441800026486,1,translational_only,NA,NA,1
5850,ESPNL,0,1,translational_only,NA,NA,1
5851,ESPNP,0,1,translational_only,NA,NA,1
5852,ESR1,2.26191826818675,1,both,NA,NA,1
5853,ESR2,0.951619151827068,1,translational_only,NA,NA,1
5854,ESRG,0.183526829573815,1,translational_only,0.80167860969354,1,1
5855,ESRP1,0,1,translational_only,NA,NA,1
5856,ESRP2,-0.199097291769671,1,translational_only,0.884072157101594,1,1
5857,ESRRA,-0.304990491760631,1,translational_only,0.942955147555628,1,1
5858,ESRRB,0,1,translational_only,NA,NA,1
5859,ESRRG,0,1,translational_only,NA,NA,1
5860,ESX1,0,1,translational_only,NA,NA,1
5861,ESYT1,0.610642275529469,1,translational_only,0.034963110411164,0.571516823133779,-1
5862,ESYT2,0.914847405241564,1,translational_only,0.089146128562941,0.845144553902854,-1
5863,ESYT3,0.671888261004262,1,translational_only,NA,NA,1
5864,ETAA1,-0.526531223725258,1,translational_only,NA,NA,1
5865,ETF1,-0.072876070883289,1,translational_only,0.633347082268059,1,1
5866,ETFA,0.230322039842124,1,translational_only,0.77743409598346,1,-1
5867,ETFB,0.018883768070122,1,translational_only,NA,NA,1
5868,ETFDH,0.113015667462202,1,translational_only,NA,NA,1
5869,ETHE1,0,1,translational_only,NA,NA,1
5870,ETNK1,-0.144050990021863,1,translational_only,NA,NA,1
5871,ETNK2,0.108529311647263,1,translational_only,NA,NA,1
5872,ETNPPL,0,1,translational_only,NA,NA,1
5873,ETS1,0.687968417727569,1,translational_only,0.013088658056959,0.375474910764725,-1
5874,ETS2,0.355900376309958,1,translational_only,NA,NA,1
5875,ETV1,0.072875187390494,1,translational_only,NA,NA,1
5876,ETV2,0,1,translational_only,NA,NA,1
5877,ETV3,0.358631026686997,1,translational_only,NA,NA,1
5878,ETV3L,0,1,translational_only,NA,NA,1
5879,ETV4,0.268977459240689,1,translational_only,0.803207186369097,1,-1
5880,ETV5,0.293810459659852,1,translational_only,NA,NA,1
5881,ETV6,-0.143691116275451,1,translational_only,NA,NA,1
5882,ETV7,2.26651294082182,1,both,NA,NA,1
5883,EVA1A,2.26193102949138,1,both,NA,NA,1
5884,EVA1B,0.807334183468932,1,translational_only,0.085063300168785,0.834541466823368,-1
5885,EVA1C,3.11493932233764,1,both,NA,NA,1
5886,EVADR,0,1,translational_only,NA,NA,1
5887,EVC,1.01879933987179,1,translational_only,NA,NA,1
5888,EVC2,-4.46525811967223,1,both,NA,NA,1
5889,EVI2A,1.11734515535038,1,translational_only,NA,NA,1
5890,EVI2B,1.5184693695892,1,both,NA,NA,1
5891,EVI5,0.539114757597732,1,translational_only,0.105030272521726,0.892328971114436,-1
5892,EVI5L,-3.23817195161988,1,both,NA,NA,1
5893,EVL,-0.141697563739518,1,translational_only,NA,NA,1
5894,EVPL,0,1,translational_only,NA,NA,1
5895,EVPLL,0,1,translational_only,NA,NA,1
5896,EVX1,0,1,translational_only,NA,NA,1
5897,EVX1-AS,0,1,translational_only,NA,NA,1
5898,EVX2,0,1,translational_only,NA,NA,1
5899,EWSAT1,0,1,translational_only,NA,NA,1
5900,EWSR1,0.328735982362007,1,translational_only,0.642096559621426,1,-1
5901,EXD1,0.132605522136492,1,translational_only,NA,NA,1
5902,EXD2,0.280979353511352,1,translational_only,NA,NA,1
5903,EXD3,3.99722135550638,1,both,NA,NA,1
5904,EXO1,0.003542321811158,1,translational_only,NA,NA,1
5905,EXO5,0.826427319696135,1,translational_only,NA,NA,1
5906,EXOC1,-0.042200471648564,1,translational_only,NA,NA,1
5907,EXOC2,1.11011474482691,1,translational_only,NA,NA,1
5908,EXOC3,0.926726013837601,1,translational_only,NA,NA,1
5909,EXOC3-AS1,-0.49697523413314,1,translational_only,NA,NA,1
5910,EXOC3L1,0.550164097102239,1,translational_only,0.773866718263501,1,1
5911,EXOC3L2,0.430791078830203,1,translational_only,NA,NA,1
5912,EXOC3L4,0,1,translational_only,NA,NA,1
5913,EXOC4,0.544815208508177,1,translational_only,NA,NA,1
5914,EXOC5,0.480835567832392,1,translational_only,NA,NA,1
5915,EXOC6,1.93946685667378,1,both,NA,NA,1
5916,EXOC6B,0.164578519141813,1,translational_only,NA,NA,1
5917,EXOC7,0.06455532985451,1,translational_only,0.90586431404018,1,1
5918,EXOC8,-0.242910500291258,1,translational_only,NA,NA,1
5919,EXOG,-0.555168220063034,1,translational_only,NA,NA,1
5920,EXOSC1,-0.116868595718757,1,translational_only,NA,NA,1
5921,EXOSC10,-0.293562443481315,1,translational_only,NA,NA,1
5922,EXOSC2,0.307483319469771,1,translational_only,0.470079468216068,1,-1
5923,EXOSC3,1.12368005675442,0.962357118830367,translational_only,NA,NA,1
5924,EXOSC4,0.544083451233609,1,translational_only,NA,NA,1
5925,EXOSC5,1.08535503071699,1,translational_only,NA,NA,1
5926,EXOSC6,-1.07606269836876,1,translational_only,2.89213341009287E-06,0.000836790599987,1
5927,EXOSC7,0.271514297706019,1,translational_only,NA,NA,1
5928,EXOSC8,0.566348457047577,1,translational_only,0.2040645202832,1,-1
5929,EXOSC9,0.314634750582805,1,translational_only,0.430485626959362,1,-1
5930,EXPH5,0.239352354651213,1,translational_only,0.572769993337047,1,-1
5931,EXT1,-0.208025879542632,1,translational_only,0.307166467181353,1,1
5932,EXT2,0.561507536864626,1,translational_only,NA,NA,1
5933,EXTL1,-0.135756822853272,1,translational_only,NA,NA,1
5934,EXTL2,-0.147653636817561,1,translational_only,0.964771672092121,1,1
5935,EXTL3,0.885021844865577,1,translational_only,NA,NA,1
5936,EXTL3-AS1,1.63838929558629,1,both,NA,NA,1
5937,EYA1,0,1,translational_only,NA,NA,1
5938,EYA2,0,1,translational_only,NA,NA,1
5939,EYA3,0.1719420049479,1,translational_only,0.504832290288938,1,-1
5940,EYA4,-1.06296485443588,1,translational_only,NA,NA,1
5941,EYS,0.231538746953417,1,translational_only,0.250549365609275,1,-1
5942,EZH1,-0.518252107673958,1,translational_only,NA,NA,1
5943,EZH2,-0.313806649227183,1,translational_only,0.304015676058629,1,1
5944,EZR,0.492121359057838,1,translational_only,0.080775491812698,0.823246108337634,-1
5945,EZR-AS1,0.165930685378452,1,translational_only,0.808435557159954,1,-1
5946,F10,1.0146165972535,1,translational_only,NA,NA,1
5947,F10-AS1,0,1,translational_only,NA,NA,1
5948,F11,0,1,translational_only,NA,NA,1
5949,F11-AS1,0,1,translational_only,NA,NA,1
5950,F11R,0.651207442036325,1,translational_only,NA,NA,1
5951,F12,-0.116873275698594,1,translational_only,NA,NA,1
5952,F13A1,0,1,translational_only,NA,NA,1
5953,F13B,0,1,translational_only,NA,NA,1
5954,F2,2.26652638309488,1,both,NA,NA,1
5955,F2R,0.12940344297602,1,translational_only,0.647591255651395,1,-1
5956,F2RL1,0.781492993716864,1,translational_only,NA,NA,1
5957,F2RL2,0.394696518817548,1,translational_only,NA,NA,1
5958,F2RL3,1.6451159263393,1,both,NA,NA,1
5959,F3,-0.543026887486417,1,translational_only,NA,NA,1
5960,F5,0.079728279837816,1,translational_only,0.6447571917588,1,1
5961,F7,0,1,translational_only,NA,NA,1
5962,F8,0,1,translational_only,NA,NA,1
5963,F8A1,-0.135287570731994,1,translational_only,NA,NA,1
5964,F8A2,0,1,translational_only,NA,NA,1
5965,F8A3,0,1,translational_only,NA,NA,1
5966,F9,0,1,translational_only,NA,NA,1
5967,FA2H,0,1,translational_only,NA,NA,1
5968,FAAH,-2.38304415633277,1,both,NA,NA,1
5969,FAAH2,0,1,translational_only,NA,NA,1
5970,FAAHP1,0,1,translational_only,NA,NA,1
5971,FAAP100,2.19064296726225,1,both,NA,NA,1
5972,FAAP20,-0.113683994046037,1,translational_only,0.916098170798989,1,-1
5973,FAAP24,-0.060858589831202,1,translational_only,NA,NA,1
5974,FABP1,0,1,translational_only,NA,NA,1
5975,FABP12,0,1,translational_only,NA,NA,1
5976,FABP2,-2.38394952531467,1,both,NA,NA,1
5977,FABP3,0.657984621040815,1,translational_only,0.53881887707907,1,-1
5978,FABP4,0,1,translational_only,NA,NA,1
5979,FABP5,-0.016993916146481,1,translational_only,0.642389058040075,1,-1
5980,FABP5P3,0,1,translational_only,NA,NA,1
5981,FABP6,3.27198670877145,0.771544436563753,both,NA,NA,1
5982,FABP7,-0.121749834413958,1,translational_only,NA,NA,1
5983,FABP9,0,1,translational_only,NA,NA,1
5984,FADD,0.629906490240362,1,translational_only,0.141291761824796,1,-1
5985,FADS1,0.652497577088485,1,translational_only,0.004608857125381,0.235322822637115,-1
5986,FADS2,0.29273013103261,1,translational_only,0.277193475702125,1,-1
5987,FADS3,-0.121750807228768,1,translational_only,NA,NA,1
5988,FADS6,-0.709745803781415,1,translational_only,NA,NA,1
5989,FAF1,0.365577954285171,1,translational_only,0.18276853133156,1,-1
5990,FAF2,0.407246056621799,1,translational_only,NA,NA,1
5991,FAH,3.10548981321731,1,both,NA,NA,1
5992,FAHD1,-0.236034291234084,1,translational_only,NA,NA,1
5993,FAHD2A,-0.14927741891701,1,translational_only,NA,NA,1
5994,FAHD2B,0.729560111830107,1,translational_only,NA,NA,1
5995,FAHD2CP,0,1,translational_only,NA,NA,1
5996,FAIM,-0.588618419430923,1,translational_only,NA,NA,1
5997,FAIM2,0,1,translational_only,NA,NA,1
5998,FALEC,0,1,translational_only,NA,NA,1
5999,FAM101A,0,1,translational_only,NA,NA,1
6000,FAM101B,-0.145084836452957,1,translational_only,NA,NA,1
6001,FAM102A,0.551726545982231,1,translational_only,NA,NA,1
6002,FAM102B,0.801929652504292,1,translational_only,NA,NA,1
6003,FAM103A1,0.325291303920644,1,translational_only,NA,NA,1
6004,FAM104A,-0.069532825422336,1,translational_only,0.824053351604605,1,-1
6005,FAM104B,-0.913745220248889,1,translational_only,NA,NA,1
6006,FAM105A,0.380113064132746,1,translational_only,NA,NA,1
6007,FAM106A,0.432507339985718,1,translational_only,0.62788317842268,1,-1
6008,FAM106B,0,1,translational_only,NA,NA,1
6009,FAM106CP,3.63343013430048,1,both,NA,NA,1
6010,FAM107A,0.610814899513199,1,translational_only,NA,NA,1
6011,FAM107B,0,1,translational_only,NA,NA,1
6012,FAM109A,-0.144217684753762,1,translational_only,NA,NA,1
6013,FAM109B,0,1,translational_only,NA,NA,1
6014,FAM110A,2.26652281918281,1,both,NA,NA,1
6015,FAM110B,-0.120977822671985,1,translational_only,NA,NA,1
6016,FAM110C,4.3501823094556,1,both,NA,NA,1
6017,FAM110D,0,1,translational_only,NA,NA,1
6018,FAM111A,0.154957299321893,1,translational_only,0.197060721083162,1,-1
6019,FAM111B,0.645617240350568,1,translational_only,NA,NA,1
6020,FAM114A1,0.071496442013625,1,translational_only,0.688828892897179,1,1
6021,FAM114A2,1.25554507458671,1,translational_only,NA,NA,1
6022,FAM117A,0.421704836259739,1,translational_only,NA,NA,1
6023,FAM117B,0.275126116862446,1,translational_only,0.739266268451168,1,1
6024,FAM118A,0.948005190559955,1,translational_only,NA,NA,1
6025,FAM118B,-0.130144741892415,1,translational_only,0.85564013051719,1,-1
6026,FAM120A,0.082671678217742,1,translational_only,0.772955425543485,1,-1
6027,FAM120AOS,-0.075662669860391,1,translational_only,0.993429819421944,1,-1
6028,FAM120B,0.763072764602494,1,translational_only,NA,NA,1
6029,FAM120C,-0.832068117022753,1,translational_only,NA,NA,1
6030,FAM122A,3.29920300535702,0.003022355017505,both,NA,NA,1
6031,FAM122B,1.48368512874264,1,translational_only,NA,NA,1
6032,FAM122C,0.33565643093328,1,translational_only,0.269490963401133,1,-1
6033,FAM124A,1.40560301246391,1,translational_only,NA,NA,1
6034,FAM124B,-3.2363292576926,1,both,NA,NA,1
6035,FAM126A,-1.48272528402391,1,translational_only,NA,NA,1
6036,FAM126B,0.056063724031238,1,translational_only,0.588569752534728,1,-1
6037,FAM127A,-0.336223283834624,1,translational_only,NA,NA,1
6038,FAM127B,-0.77896330906179,1,translational_only,NA,NA,1
6039,FAM127C,-0.240812824447305,1,translational_only,0.420938307438972,1,1
6040,FAM129A,0.210183954609276,1,translational_only,0.457242675876428,1,-1
6041,FAM129B,-0.084131364654884,1,translational_only,0.092865135841659,0.85600288046612,1
6042,FAM129C,0,1,translational_only,NA,NA,1
6043,FAM131A,-0.170135511083385,1,translational_only,0.472480207641764,1,1
6044,FAM131B,-0.142259031765215,1,translational_only,NA,NA,1
6045,FAM131C,0,1,translational_only,NA,NA,1
6046,FAM132A,-2.38394822142409,1,both,NA,NA,1
6047,FAM132B,0.420891119441908,1,translational_only,NA,NA,1
6048,FAM133A,-0.116877950903417,1,translational_only,NA,NA,1
6049,FAM133B,0,1,translational_only,NA,NA,1
6050,FAM133CP,0,1,translational_only,NA,NA,1
6051,FAM133DP,0,1,translational_only,NA,NA,1
6052,FAM134A,-0.22931045359681,1,translational_only,0.149543131499122,1,1
6053,FAM134B,-0.142315791474057,1,translational_only,NA,NA,1
6054,FAM134C,0.870811719765572,1,translational_only,0.025412605603969,0.52255908910215,-1
6055,FAM135A,-2.38304610562813,1,both,NA,NA,1
6056,FAM135B,0,1,translational_only,NA,NA,1
6057,FAM136A,0.218557466617525,1,translational_only,0.863023764152209,1,1
6058,FAM138A,0,1,translational_only,NA,NA,1
6059,FAM138B,0,1,translational_only,NA,NA,1
6060,FAM138C,-3.24000755219335,1,both,NA,NA,1
6061,FAM138D,0,1,translational_only,NA,NA,1
6062,FAM138E,-2.38394691971872,1,both,NA,NA,1
6063,FAM138F,0,1,translational_only,NA,NA,1
6064,FAM13A,0.467102826210746,1,translational_only,0.646505398734317,1,-1
6065,FAM13A-AS1,-0.277361425508522,1,translational_only,0.621574559672116,1,1
6066,FAM13B,0.93605567036239,1,translational_only,NA,NA,1
6067,FAM13C,-0.116885658185059,1,translational_only,NA,NA,1
6068,FAM149A,-2.38304805108274,1,both,NA,NA,1
6069,FAM149B1,0.409683763958919,1,translational_only,0.1337222959992,0.978126007814374,-1
6070,FAM150A,0,1,translational_only,NA,NA,1
6071,FAM150B,-0.140667350621195,1,translational_only,NA,NA,1
6072,FAM151A,-0.259324619963308,1,translational_only,NA,NA,1
6073,FAM151B,-0.12175177833463,1,translational_only,NA,NA,1
6074,FAM153A,0,1,translational_only,NA,NA,1
6075,FAM153B,0,1,translational_only,NA,NA,1
6076,FAM153C,-0.663268364318472,1,translational_only,NA,NA,1
6077,FAM155A,-4.16020912619793,1,both,NA,NA,1
6078,FAM155A-IT1,0,1,translational_only,NA,NA,1
6079,FAM155B,-2.38304999286564,1,both,NA,NA,1
6080,FAM156A,-1.08368519222807,1,translational_only,NA,NA,1
6081,FAM156B,0,1,translational_only,NA,NA,1
6082,FAM157A,3.10548981321731,1,both,NA,NA,1
6083,FAM157B,2.26651926048902,1,both,NA,NA,1
6084,FAM157C,0,1,translational_only,NA,NA,1
6085,FAM159A,0,1,translational_only,NA,NA,1
6086,FAM159B,0.561955348017047,1,translational_only,NA,NA,1
6087,FAM160A1,0.714657086881268,1,translational_only,NA,NA,1
6088,FAM160A2,-0.131866590071401,1,translational_only,NA,NA,1
6089,FAM160B1,-0.608945099583689,1,translational_only,NA,NA,1
6090,FAM160B2,0.829717770484037,1,translational_only,0.012606568201591,0.36475003996602,-1
6091,FAM161A,-0.194594803652358,1,translational_only,0.515633381524908,1,1
6092,FAM161B,0.258034228109595,1,translational_only,0.675752503747409,1,-1
6093,FAM162A,1.89387755181754,1,both,NA,NA,1
6094,FAM162B,0,1,translational_only,NA,NA,1
6095,FAM163A,0,1,translational_only,NA,NA,1
6096,FAM163B,0,1,translational_only,NA,NA,1
6097,FAM166A,0.023963489762335,1,translational_only,1,1,1
6098,FAM166B,0.036063175735409,1,translational_only,0.401002086200479,1,1
6099,FAM167A,0,1,translational_only,NA,NA,1
6100,FAM167A-AS1,0,1,translational_only,NA,NA,1
6101,FAM167B,0,1,translational_only,NA,NA,1
6102,FAM168A,0.347499276139449,1,translational_only,0.388065574139334,1,-1
6103,FAM168B,0.885758368533781,1,translational_only,0.001185095213568,0.114701486430888,-1
6104,FAM169A,0.755376189629167,1,translational_only,0.253568460514383,1,-1
6105,FAM169B,-2.38305193114937,1,both,NA,NA,1
6106,FAM170A,0,1,translational_only,NA,NA,1
6107,FAM170B,0,1,translational_only,NA,NA,1
6108,FAM170B-AS1,0,1,translational_only,NA,NA,1
6109,FAM171A1,0.220836955681378,1,translational_only,NA,NA,1
6110,FAM171A2,-0.120984253759881,1,translational_only,NA,NA,1
6111,FAM171B,0.457936192672056,1,translational_only,NA,NA,1
6112,FAM172A,3.10548981321731,1,both,NA,NA,1
6113,FAM172BP,-0.151067137149862,1,translational_only,0.575019671899889,1,1
6114,FAM173A,-0.126367761064049,1,translational_only,NA,NA,1
6115,FAM173B,0.108187320073298,1,translational_only,NA,NA,1
6116,FAM174A,0.247983667101996,1,translational_only,NA,NA,1
6117,FAM174B,0,1,translational_only,NA,NA,1
6118,FAM175A,-0.281336027621463,1,translational_only,0.70276669662916,1,-1
6119,FAM175B,-0.459282226784709,1,translational_only,NA,NA,1
6120,FAM177A1,-0.631565678062976,1,translational_only,0.11098924111315,0.907428520749273,1
6121,FAM177B,0,1,translational_only,NA,NA,1
6122,FAM178A,-0.167050140236329,1,translational_only,0.429619023028134,1,1
6123,FAM178B,0,1,translational_only,NA,NA,1
6124,FAM179A,0,1,translational_only,NA,NA,1
6125,FAM179B,-1.09951572611735,1,translational_only,NA,NA,1
6126,FAM180A,-2.38394576192969,1,both,NA,NA,1
6127,FAM180B,0,1,translational_only,NA,NA,1
6128,FAM181A,0,1,translational_only,NA,NA,1
6129,FAM181A-AS1,0,1,translational_only,NA,NA,1
6130,FAM181B,0,1,translational_only,NA,NA,1
6131,FAM182A,3.09542943327993,1,both,NA,NA,1
6132,FAM182B,1.08485980086196,1,translational_only,NA,NA,1
6133,FAM183A,0,1,translational_only,NA,NA,1
6134,FAM183B,-2.38305386611018,1,both,NA,NA,1
6135,FAM183CP,-2.38394460628886,1,both,NA,NA,1
6136,FAM184A,0,1,translational_only,NA,NA,1
6137,FAM184B,0.51683525247443,1,translational_only,0.765704885574359,1,-1
6138,FAM185A,0.781491627846652,1,translational_only,NA,NA,1
6139,FAM186A,-0.969074224010279,1,translational_only,NA,NA,1
6140,FAM186B,0.398105352077263,1,translational_only,0.752322636389763,1,1
6141,FAM187B,0,1,translational_only,NA,NA,1
6142,FAM188A,0.740854118757697,1,translational_only,NA,NA,1
6143,FAM188B,0,1,translational_only,NA,NA,1
6144,FAM189A1,-3.23632685789619,1,both,NA,NA,1
6145,FAM189A2,0,1,translational_only,NA,NA,1
6146,FAM189B,-0.464461880015529,1,translational_only,NA,NA,1
6147,FAM192A,0.36145558964245,1,translational_only,0.57679974774223,1,-1
6148,FAM193A,0.256548738670933,1,translational_only,NA,NA,1
6149,FAM193B,-0.243232624213533,1,translational_only,NA,NA,1
6150,FAM195A,-0.470535900036171,1,translational_only,0.42401417260811,1,1
6151,FAM195B,-1.50667507398824,1,both,NA,NA,1
6152,FAM196A,-1.13558988444889,1,translational_only,NA,NA,1
6153,FAM196B,0.722108951582671,1,translational_only,NA,NA,1
6154,FAM197Y2,0,1,translational_only,NA,NA,1
6155,FAM197Y5,0,1,translational_only,NA,NA,1
6156,FAM198A,2.26651570698585,1,both,NA,NA,1
6157,FAM198B,0,1,translational_only,NA,NA,1
6158,FAM199X,0.469365872285475,1,translational_only,NA,NA,1
6159,FAM19A1,0,1,translational_only,NA,NA,1
6160,FAM19A2,0,1,translational_only,NA,NA,1
6161,FAM19A3,0,1,translational_only,NA,NA,1
6162,FAM19A4,0,1,translational_only,NA,NA,1
6163,FAM19A5,0,1,translational_only,NA,NA,1
6164,FAM200A,0.780975085744561,1,translational_only,NA,NA,1
6165,FAM200B,0.414543835508341,1,translational_only,NA,NA,1
6166,FAM201A,0.670228189324616,1,translational_only,NA,NA,1
6167,FAM204A,0.746002253582225,1,translational_only,NA,NA,1
6168,FAM205A,0,1,translational_only,NA,NA,1
6169,FAM205BP,0,1,translational_only,NA,NA,1
6170,FAM205C,0,1,translational_only,NA,NA,1
6171,FAM206A,0.497705678513612,1,translational_only,NA,NA,1
6172,FAM207A,-0.141387798059086,1,translational_only,NA,NA,1
6173,FAM208A,0.088233746854728,1,translational_only,0.598105551817273,1,-1
6174,FAM208B,0.491350120254452,1,translational_only,0.16340697351197,1,-1
6175,FAM209A,0,1,translational_only,NA,NA,1
6176,FAM209B,0,1,translational_only,NA,NA,1
6177,FAM20A,-0.009241757830863,1,translational_only,NA,NA,1
6178,FAM20B,0.504596969550614,1,translational_only,0.19919488283812,1,-1
6179,FAM20C,0.016706051461497,1,translational_only,0.125084687188708,0.951631209081856,-1
6180,FAM210A,-0.755597760560409,1,translational_only,NA,NA,1
6181,FAM210B,-0.456860398930517,1,translational_only,0.099140773032051,0.872187016240342,1
6182,FAM212A,3.09541661448648,1,both,NA,NA,1
6183,FAM212B,0.429846221119719,1,translational_only,NA,NA,1
6184,FAM212B-AS1,0,1,translational_only,NA,NA,1
6185,FAM213A,0.228633957651968,1,translational_only,NA,NA,1
6186,FAM213B,-0.438144261165478,1,translational_only,NA,NA,1
6187,FAM214A,2.26194374562429,1,both,NA,NA,1
6188,FAM214B,0.815293060620972,1,translational_only,NA,NA,1
6189,FAM215A,0.195653796700167,1,translational_only,NA,NA,1
6190,FAM216A,0.425328458955416,1,translational_only,0.871042736708172,1,-1
6191,FAM216B,0,1,translational_only,NA,NA,1
6192,FAM217A,0.722108277462096,1,translational_only,NA,NA,1
6193,FAM217B,0.182019844411058,1,translational_only,0.91744695190122,1,1
6194,FAM218A,0,1,translational_only,NA,NA,1
6195,FAM219A,0.295954350836314,1,translational_only,NA,NA,1
6196,FAM219B,0.472580643225543,1,translational_only,0.449606102165036,1,-1
6197,FAM21A,1.38446695979554,1,translational_only,NA,NA,1
6198,FAM21C,-0.143362605189893,1,translational_only,NA,NA,1
6199,FAM21EP,0.42848548428051,1,translational_only,NA,NA,1
6200,FAM220A,1.26449485555449,1,translational_only,NA,NA,1
6201,FAM221A,0,1,translational_only,NA,NA,1
6202,FAM221B,-2.38305579792827,1,both,NA,NA,1
6203,FAM222A,2.26195641823758,1,both,NA,NA,1
6204,FAM222A-AS1,2.26196904901534,1,both,NA,NA,1
6205,FAM222B,0.552309163857495,1,translational_only,NA,NA,1
6206,FAM223A,0,1,translational_only,NA,NA,1
6207,FAM223B,0,1,translational_only,NA,NA,1
6208,FAM224A,0,1,translational_only,NA,NA,1
6209,FAM224B,0,1,translational_only,NA,NA,1
6210,FAM225A,0.416337466221568,1,translational_only,NA,NA,1
6211,FAM225B,-0.137614543106225,1,translational_only,NA,NA,1
6212,FAM226A,0,1,translational_only,NA,NA,1
6213,FAM226B,0,1,translational_only,NA,NA,1
6214,FAM227A,0.188563593924088,1,translational_only,0.040445541211396,0.60213544463721,-1
6215,FAM227B,0.274113195003963,1,translational_only,0.063789926592997,0.736917031370583,-1
6216,FAM228A,0,1,translational_only,NA,NA,1
6217,FAM228B,-0.207566027352024,1,translational_only,0.927426497353826,1,-1
6218,FAM229A,3.10548981321731,1,both,NA,NA,1
6219,FAM229B,-0.145754909020554,1,translational_only,NA,NA,1
6220,FAM230B,-2.38305802759261,1,both,NA,NA,1
6221,FAM230C,0,1,translational_only,NA,NA,1
6222,FAM231A,0,1,translational_only,NA,NA,1
6223,FAM231B,0,1,translational_only,NA,NA,1
6224,FAM231C,0,1,translational_only,NA,NA,1
6225,FAM231D,0,1,translational_only,NA,NA,1
6226,FAM24A,0,1,translational_only,NA,NA,1
6227,FAM24B,0,1,translational_only,NA,NA,1
6228,FAM24B-CUZD1,0,1,translational_only,NA,NA,1
6229,FAM25A,0,1,translational_only,NA,NA,1
6230,FAM25BP,0,1,translational_only,NA,NA,1
6231,FAM25C,0,1,translational_only,NA,NA,1
6232,FAM25G,0,1,translational_only,NA,NA,1
6233,FAM26D,0,1,translational_only,NA,NA,1
6234,FAM26E,-0.971948752385141,1,translational_only,NA,NA,1
6235,FAM26F,0,1,translational_only,NA,NA,1
6236,FAM27B,-1.29714317442331,1,translational_only,NA,NA,1
6237,FAM27C,-0.52832792842294,1,translational_only,NA,NA,1
6238,FAM27E2,0.721935886428899,1,translational_only,NA,NA,1
6239,FAM27E3,2.26651215864563,1,both,NA,NA,1
6240,FAM27L,0,1,translational_only,NA,NA,1
6241,FAM32A,-0.023255678653198,1,translational_only,0.817321196452717,1,1
6242,FAM35A,1.14091608632089,1,translational_only,NA,NA,1
6243,FAM35BP,0.803930167853348,1,translational_only,NA,NA,1
6244,FAM35DP,-0.446089125976497,1,translational_only,NA,NA,1
6245,FAM3A,-0.144619041760891,1,translational_only,NA,NA,1
6246,FAM3B,0,1,translational_only,NA,NA,1
6247,FAM3C,0.167473596179323,1,translational_only,0.766538095269373,1,1
6248,FAM3D,0,1,translational_only,NA,NA,1
6249,FAM41AY1,0,1,translational_only,NA,NA,1
6250,FAM41AY2,0,1,translational_only,NA,NA,1
6251,FAM41C,0,1,translational_only,NA,NA,1
6252,FAM43A,2.20092375438283,1,both,NA,NA,1
6253,FAM43B,0,1,translational_only,NA,NA,1
6254,FAM45A,3.10548981321731,1,both,NA,NA,1
6255,FAM45B,0.386685174181587,1,translational_only,NA,NA,1
6256,FAM46A,-0.138203892454595,1,translational_only,NA,NA,1
6257,FAM46B,3.63402787270514,1,both,NA,NA,1
6258,FAM46C,-0.120979539345474,1,translational_only,NA,NA,1
6259,FAM46D,0,1,translational_only,NA,NA,1
6260,FAM47A,0,1,translational_only,NA,NA,1
6261,FAM47B,3.09540380939397,1,both,NA,NA,1
6262,FAM47C,0,1,translational_only,NA,NA,1
6263,FAM47E,0,1,translational_only,NA,NA,1
6264,FAM47E-STBD1,0,1,translational_only,NA,NA,1
6265,FAM49A,3.10548981321731,1,both,NA,NA,1
6266,FAM49B,0.671725391807172,1,translational_only,NA,NA,1
6267,FAM50A,0.658590906228094,1,translational_only,0.107184504758526,0.896311199276176,-1
6268,FAM50B,0,1,translational_only,NA,NA,1
