,Control.vs.Treated.Gene,Control.vs.Treated.mRNA_logFC,Control.vs.Treated.mRNA_FDR,Control.vs.Treated.Change_type,Control.vs.Treated.P.value,Control.vs.Treated.FDR,Control.vs.Treated.Direction
103,ABHD14B,0.508653061821816,1,translational_only,NA,NA,1
104,ABHD15,0.750357171944133,1,translational_only,NA,NA,1
105,ABHD16A,2.38678547928503,0.000158672474194,both,NA,NA,1
106,ABHD16B,0.034098761854077,1,translational_only,0.697828241574304,1,-1
107,ABHD17A,-0.143352218200021,1,translational_only,NA,NA,1
108,ABHD17B,-0.304551531310742,1,translational_only,NA,NA,1
109,ABHD17C,-2.38399099609504,1,both,NA,NA,1
110,ABHD2,0.203861167995464,1,translational_only,0.743591544588977,1,1
111,ABHD3,-0.116851348223223,1,translational_only,NA,NA,1
112,ABHD4,-1.05445168695286,1,translational_only,NA,NA,1
113,ABHD5,-1.3598672717357,1,translational_only,NA,NA,1
114,ABHD6,2.26143603030363,1,both,NA,NA,1
115,ABHD8,-0.063842546115118,1,translational_only,0.929439897737824,1,1
116,ABI1,-0.041280884977836,1,translational_only,0.898272978925055,1,1
117,ABI2,0.335975508483338,1,translational_only,0.4000409334765,1,-1
118,ABI3,3.10548981321731,1,both,NA,NA,1
119,ABI3BP,0.192090198604531,1,translational_only,NA,NA,1
120,ABL1,-0.376029688951038,1,translational_only,0.124213816494386,0.950410563389345,1
121,ABL2,0.327183286394491,1,translational_only,0.380109260946771,1,-1
122,ABLIM1,0.534853315734233,1,translational_only,NA,NA,1
123,ABLIM2,0,1,translational_only,NA,NA,1
124,ABLIM3,0.713202744488567,1,translational_only,NA,NA,1
125,ABO,0,1,translational_only,NA,NA,1
126,ABR,0.712174888527054,1,translational_only,0.047995683602542,0.656181510655677,-1
127,ABRA,-0.120999563434416,1,translational_only,NA,NA,1
128,ABRACL,-0.357721175925692,1,translational_only,NA,NA,1
129,ABT1,-0.144253648320932,1,translational_only,NA,NA,1
130,ABTB1,2.26672416505069,1,both,NA,NA,1
131,ABTB2,0.528000704473419,1,translational_only,0.231488872223174,1,-1
132,ACAA1,0.110054655058142,1,translational_only,NA,NA,1
133,ACAA2,-1.26887775585193,1,translational_only,NA,NA,1
134,ACACA,0.225513502331487,1,translational_only,0.331328660794904,1,-1
135,ACACB,0.257676082302221,1,translational_only,NA,NA,1
136,ACAD10,-0.137208763680016,1,translational_only,NA,NA,1
137,ACAD11,-0.518335634441492,1,translational_only,0.150853814691585,1,1
138,ACAD8,0.37961631746301,1,translational_only,NA,NA,1
139,ACAD9,0.556653633929177,1,translational_only,NA,NA,1
